,Titel,Artikel,Datum
5016,Transport Online - Twee doden bij aanrijding met vrachtwagen op N322 [update],"BOVEN-LEEUWEN - [updte 15:21] Maandagochtend omstreeks 09.00 uur vond er een ongeval plaats op de Maas en Waalweg ter hoogte van Boven-Leeuwen. Hierbij zijn een 37-jarige vrouw uit Amsterdam en een 64-jarige man uit Druten om het leven gekomen. Een 23-jarige man uit Helmond is gewond overgebracht naar het ziekenhuis in Tiel. 


Het ongeval vond plaats tussen een vrachtwagen, auto en busje. De vrachtwagen kwam vanuit Tiel, de auto en het busje uit de richting van Nijmegen. Door nog onbekende oorzaak reed de auto op de verkeerde weghelft, en kwam hierbij frontaal in botsing met de vrachtwagen. De 23-jarige bestuurder van de vrachtwagen wilde uitwijken en draaide hierbij om zijn as. Hierdoor reed hij over het busje heen. 


De 37-jarige bestuurster van het busje overleed ter plekke. De bestuurder van de auto, de 64-jarige man, werd overgebracht naar het ziekenhuis in Nijmegen. Daar overleed hij even later. De bestuurder van de vrachtwagen is met een hoofdwond overgebracht naar het ziekenhuis in Tiel. 


De afdeling Verkeersongevallen Analyse deed ter plekke onderzoek. De provinciale weg is naar verwachting de komende uren nog afgesloten. ",10/04/2019
5017,Transport Online - Vrachtwagenchauffeur ziet afremmende auto te laat op N360,"Vrachtwagenchauffeur ziet afremmende auto te laat op N360 APPINGEDAM  Een 50-jarige automobiliste uit Delfzijl is donderdagmiddag gewond geraakt op de N360 bij Appingedam. De vrouw remde af vanwege een verkeerslicht. Een 38-jarige vrachtwagenchauffeur uit Gaanderen (Gelderland) merkte dit te laat op en reed tegen de achterkant van het voertuig van het slachtoffer.  


De 50-jarige vrouw raakte gewond aan haar nek en is voor controle naar een ziekenhuis gebracht. De politie maakt een registratie van het ongeval.",10/04/2019
5018,Transport Online - Automobilist gewond bij verkeersongeval in Rouveen,"Automobilist gewond bij verkeersongeval in Rouveen ROUVEEN - Bij een verkeersongeval op de Oude Rijksweg is woensdagmiddag een 63-jarige automobilist uit Rouveen gewond geraakt. Hij werd per ambulance naar het ziekenhuis gebracht.  


Het slachtoffer reed vermoedelijk vanuit een inrit de weg op en werd daarbij aangereden door passerende een vrachtwagen die in de richting Lichtmis reed. De bestuurder kon een aanrijding niet meer voorkomen.  


Naar de toedracht van het ongeval wordt een onderzoek ingesteld.",10/04/2019
5019,Transport Online - Motorrijder verongelukt bij ongeval op N271,"Motorrijder verongelukt bij ongeval op N271 HEIJEN - De politie onderzoekt een ongeluk op de N271 waarbij donderdagmorgen een motorrijder om het leven is gekomen. De motorrijder reed, even na zes uur, frontaal tegen een vrachtwagen die bestuurd werd door een 48-jarige man uit Kloosterzande. Het slachtoffer is ter plekke aan zijn verwondingen overleden. De toedracht is nog onduidelijk.  


Een vrouw die in een bushokje aan het wachten was, is vermoedelijk getuige geweest van de aanrijding. Zij is na het ongeluk weggefietst. De politie komt graag in contact met haar om meer informatie over de toedracht te achterhalen. Ook informatie van andere getuigen is welkom via telefoonnummer 0900-8844.  


Ter plekke is een technisch onderzoek ingesteld. De N271 is voorlopig nog in beide richtingen gestremd.",10/04/2019
5020,Transport Online - Grote kettingbotsing door mist en rook in Chili ,"Grote kettingbotsing door mist en rook in Chili  SANTIAGO (Novum/AP) - Zeer dichte mist heeft op een snelweg in Chili geleid tot een zware kettingbotsing. Bussen, auto's en vrachtwagens klapten op elkaar en ten minste 46 voertuigen waren bij het ongeval betrokken. Vier mensen overleefden het ongeluk niet en meer dan twintig liepen verwondingen op. 


Volgens de politie ontstond de kettingbotsing toen een automobilist plotseling stopte vanwege de dichte mist. De zichtbaarheid was door de mist erg slecht. Dit werd nog eens verergerd door de rook die onstond bij het afbranden van een nabijgelegen veld.",10/04/2019
5021,Transport Online - Vrouw gewond bij aanrijding Haaksbergen,"Vrouw gewond bij aanrijding Haaksbergen HAAKSBERGEN - Woensdagmorgen vond omstreeks 11.15 uur een aanrijding plaats waarbij een 53-jarige vrouw uit Haaksbergen gewond raakte. Dit gebeurde op de kruising Stegenhoekweg / Ellenbroekweg in Haaksbergen.  


Op het genoemde kruispunt verleende de 53-jarige automobiliste uit Haaksbergen geen voorrang aan de voor haar van rechts komende vrachtwagen, bestuurd door een 40-jarige man uit Hellendoorn. Een botsing tussen beide voertuigen kon niet worden voorkomen. De automobiliste kwam met haar auto in de linkerberm tot stilstand.  


De vrachtwagenbestuurder week uit en belandde daardoor met zijn vrachtwagen in de rechterberm. Hij botste hierbij tegen een elektriciteitskast die hierdoor beschadigde. Als gevolg hiervan zijn een aantal panden aan de Ellenbroekweg, de Kinkelerweg en de Stegenhoekweg zonder stroom komen te zitten. De gemeente Haaksbergen heeft de betrokkenen geïnformeerd.",10/04/2019
5022,Transport Online - Twee rijstroken A58 afgesloten door geschaarde vrachtwagen ,"Twee rijstroken A58 afgesloten door geschaarde vrachtwagen  Op de snelweg A58 Breda - Tilburg is woensdagmiddag een vrachtwagencombinatie geschaard. Het is niet bekend of er gewonden zijn gevallen.  


Door het ongeluk waren er twee rijstroken tussen Goirle en Hilvarenbeek afgesloten. Het verkeer kon vanaf het knooppunt Sint Annabosch omrijden over de A27, de A59, dan de A2 en de A59. 


Op de A58 stond al snel een file van 8 kilometer. Rond 14:40 uur konden de rijstroken worden vrijgegeven, en loste de file snel op meldt de verkeersinformatiedienst.",10/04/2019
5023,Transport Online - Vrachtwagenchauffeur en bijrijder in de diepte gestort [+fotoserie],"Vrachtwagenchauffeur en bijrijder in de diepte gestort  FICHTENAU(D) -  Dinsdagavond deed zich op de Duitse Buchbachtalbrücke in Fichtenau een noodlottig ongeval voor. Een 53-jarige vrachtwagenchauffeur en zijn 71-jarige bijrijder reden over de brug toen de veewagen waar zij mee reden slipte. Ze braken door de brugleuning en werden uit de cabine geslingerd. Ze vielen beiden 20 meter naar beneden de diepte in. Beiden zijn om het leven gekomen.  


Het ongeluk gebeurde dinsdagavond om 22:25 uur. Een geladen vrachtwagen met 380 lammeren reed over de Duitse A7 richting Ulm Buchenbach. Doordat de vrachtwagen te ver naar links reed begon het te slippen. De truck stuiterde meerdere keren tegen de rechter vangrail en de betonafzetting aan de linkerkant van de weg. 


Vervolgens kantelde de vrachtwagen en gleed naar rechts. Vervolgens brak hij door de vangrail en door de brugleuning. Terwijl de trailer zich nog op de weg bevond hing de cabine half boven de afgrond. Beide inzittenden werden uit de cabine geslingerd. Eén van de mannen viel in de beek, de andere op de grond.  

 


Ongeveer een derde van alle lammeren werden gedood. Dierenartsen ontfermden zich over de dieren die het ongeluk overleefd hadden. 


Het bergen van de vrachtwagen valt niet mee. In eerste instantie werd met een kraan geprobeerd de vrachtwagen te bergen dit bleek echter niet succesvol. Later zijn twee kranen ingezet om de vrachtwagen te bergen.",10/04/2019
5024,Transport Online - Zandauto belandt in middenberm A1 bij Deventer [+foto],"Zandauto belandt in middenberm A1 bij Deventer  DEVENTER - Een zandauto is woensdag aan het begin van de middag op de A1 in de middenberm belandt en daarbij tegen de geleiderail gekanteld. 


Het incident gebeurde ter hoogte van Deventer vanuit Apeldoorn richting Hengelo. Er is zand op de twee meest linkerrijstroken terecht gekomen, deze zijn daarom ook afgesloten ter hoogte van Deventer. 


Hoe het incident kon gebeuren is niet duidelijk.  


Om 12:37 uur kon één van de rijstroken worden vrijgegeven nadat het zand aan de kant geveegd was. Om 12:45 uur kon ook de linkerrijstrook worden vrijgegeven meldt de verkeersinformatiedienst. De spitsstrook langs de A1 is nog wel afgesloten.",10/04/2019
5025,Transport Online - Auto rijdt onder vrachtwagen,"Auto rijdt onder vrachtwagen KRANENBURG (D) - Dinsdagavond omstreeks 21.30 uur zijn twee mannen van 25 en 27 jaar afkomstig uit Nijmegen ernstig gewond geraakt toen zij op de Alte Heerstrasse met hun auto tegen een vrachtwagen die melk vervoerde waren aangereden. 


Agenten van team Groesbeek reden bij toeval op de aanrijding op Duits grondgebied. Zij troffen een vrachtwagen aan en tegen de zijkant was een personenauto half onder de vrachtwagen geschoven. Uit de vrachtwagen stroomde melk. De man die naast de bestuurder had gezeten stond naast de auto en de bestuurder zat bekneld in zijn auto.  


Even na de melding kwamen de Duitse hulpdiensten ter plaatse die het van de Groesbeekse agenten overnamen. Beide inzittenden zijn met onbekend letsel overgebracht naar het UMC St. Radboud.",10/04/2019
5026,Transport Online - Vrachtwagenchauffeur bedolven onder lading puin [+foto],"Vrachtwagenchauffeur bedolven onder lading puin  DRACHTEN - Bij van Gansewinkel aan de Stuurboord in Drachten is dinsdag aan het begin van de middag een vrachtwagenchauffeur bedolven onder het puin. 


De vrachtwagenchauffeur was in zijn oplegger geklommen om alles te controleren alvorens er geladen werd. De chauffeur van de shovel had dit niet opgemerkt en begon de vrachtwagen alvast te laden met puin. De chauffeur kon niet meer tijdig wegkomen en werd onder het puin bedolven. Enkel het hoofd en een hand van de man kwamen nog boven het puin uit. 

 


De man was aanspreekbaar. Brandweerlieden kwamen met spoed ter plaatse en hebben het puin in de oplegger rondom de man weggehaald. Ambulancepersoneel heeft de man gecontroleerd op zijn verwondingen. Hij raakte slechts lichtgewond.",10/04/2019
5027,Transport Online - Vrachtwagen met aanhanger geschaard A16 [+foto],"Vrachtwagen met aanhanger geschaard A16  Op de A16 van Rotterdam naar Breda is tussen 's-Gravendeel en het knooppunt Klaverpolder een aanhanger van een vrachtwagen geschaard. Tot ongeveer 14:00 uur zijn er twee rijstroken afgesloten geweest. 


Volgens een woordvoerder van Rijkswaterstaat lag de aanhanger op zijn kant. Omdat de vrachtwagen op ""scherp"" hing kon ook deze nog gaan kantelen. 

 


Om 13:45 uur stond er tussen Dordrecht en het knooppunt Klavenpolder negen kilometer file. Automobilisten onderweg naar Breda konden beter vanaf het knooppunt Ridderkerk-Zuid omrijden via Gorinchem over de A15, A27 en A59.",10/04/2019
5028,Transport Online - Overstekende fietser komt in botsing met vrachtwagen,"Overstekende fietser komt in botsing met vrachtwagen GOUDA - Dinsdagmorgen even voor 06.30 uur, vond op de Julianasluis een aanrijding plaats tussen een vrachtwagen en een fietser.  


De fietser, een 34-jarige Gouwenaar, stak de Julianasluis over waar op dat moment dat de 48-jarige chauffeur uit Oudewater reed. Hierdoor ontstond een aanrijding. De fietser kwam ten val en werd met onbekend letsel overgebracht naar het Groene Hartziekenhuis.  


De politie doet onderzoek naar de aanrijding.",10/04/2019
5029,Transport Online - Gewonden bij ongeval op A20,"Gewonden bij ongeval op A20 Bij een ongeval dat dinsdagmorgen plaatsvond op de A20 vanuit Hoek van Holland richting Gouda is tenminste één persoon gewond geraakt. Het ongeval, waarbij twee personenauto's en een vrachtwagen betrokken waren, gebeurde om 07:00 uur ter hoogte van het knooppunt Kleinpolderplein waarna de linkerrijstrook werd afgesloten, meldt de Verkeersinformatiedienst.  


De ambulance is ter plaatse geweest om de gewonden te verzorgen en eventueel naar het ziekenhuis te vervoeren. Om 07:25 uur werd er nog een rijstrook afgesloten tussen het knooppunt Kleinpolderplein en Rotterdam-Centrum. Tussen Spaanse Polder en Rotterdam-Centrum stond toen een file met ruim een half uur vertraging. Ook stond er een kijkersfile in de richting van Hoek van Holland, 5 kilometer tussen het knooppunt Terbregseplein en Rotterdam-Centrum. Op de A13 richting Rotterdam kwam voor het knooppunt Kleinpolderplein een file te staan evenals op de A16 Breda - Rotterdam voor het knooppunt Terbregseplein. 


Om 07:45 kon één van de rijstroken worden vrijgegeven. De andere rijstrook kon volgens Rijkswaterstaat rond 08:00 uur vrijgegeven worden. Dit duurde echter wat langer, want de politie had moeite om de tachograaf van de vrachtwagen uit te lezen om te kunnen achterhalen met welke snelheid deze heeft gereden. ",10/04/2019
5030,Transport Online - Vrachtwagen van de weg geraakt op A58 [+foto],"Vrachtwagen van de weg geraakt op A58  GILZE - Een vrachtwagen is maandag aan het begin van de middag op de A58 van de weg geraakt. 


Het incident gebeurde omstreeks 13:20 uur vanuit Tilburg richting Breda ter hoogte van de afrit Gilze. Er zou sprake zijn van beknelling, maar omdat de vrachtwagen naast de rijbaan terecht is gekomen, zijn er geen rijstroken afgesloten. De vrachtwagen zou door onbekende oorzaak van het talud gereden zijn, meldt de Verkeersinformatiedienst. 

 


Omdat de vrachtwagen dieper met zjin wielen in de berm staat, is de afrit Gilze afgesloten om de vrachtwagen te kunnen bergen. ",10/04/2019
5031,Transport Online - Vrachtwagencombinatie schaart door harde wind [update],"Door de harde wind is maandagmorgen op de A16 richting Breda een vrachtwagencombinatie geschaard. 


De aanhanger van de vrachtwagen werd omstreeks 11:25 uur ter hoogte van de Moerdijkbrug gegrepen door de wind waarna de chauffeur de wagen niet meer in bedwang kon houden. Er werden aanvankelijk twee rijstroken afgesloten tussen 's-Gravendeel en het knooppunt Klaverpolder, later werd de gehele rijbaan afgesloten. Omdat de vrachtwagencombinatie dreigde te kantelen is de brandweer ter plaatse geweest om de berger te assisteren. 


Rijkswaterstaat had een omleiding ingesteld voor het verkeer dat naar Breda wilde. Vanaf het knooppunt Ridderkerk-Zuid konden automobilisten omrijden in de richting van Gorinchem over de A15, de A27 en de A59. De vertraging voor het verkeer was opgelopen tot meer dan 30 minuten. 

 


Om 12:25 uur kon de linkerrijstrook worden vrijgegeven. De andere rijstroken waren toen nog afgesloten, maar deze werden om 12:50 uur vrijgegeven. Op dat moment gebeurde er op dezelfde plek een éénzijdig ongeval waarna de linkerrijstrook weer werd afgesloten. Deze kon om 13:00 uur worden vrijgegeven meldt de verkeersinformatiedienst.",10/04/2019
5032,Transport Online - Geschaarde vrachtwagen zorgt voor files op de A12,"Geschaarde vrachtwagen zorgt voor files op de A12 WOERDEN - Een geschaarde vrachtwagencombinatie zorgt vrijdag tijdens de avondspits voor fileleed op de A12 vanuit Den Haag richting Utrecht. De vrachtwagen is onderaan de afrit geschaard. De cabine stond in de berm en de de rest van het voertuig op de rijbaan. 


Tussen Zevenhuizen en Woerden stond om 17:38 uur maar liefst 19 kilometer file. De afrit Woerden werd afgesloten. Het wachten was op de berger. Nadat de cabine door de berger uit de berm is getrokken, kon de chauffeur zijn weg weer vervolgen. 


Om 18:10 uur kon de afrit worden vrijgegeven, meldt de Verkeersinformatiedienst.",10/04/2019
5033,Transport Online - N3 afgesloten na ernstig ongeval [+foto],"N3 afgesloten na ernstig ongeval  Weggebruikers konden vrijdag aan het begin van de middag geen gebruik maken van de N3 Dordrecht richting Papendrecht. Vlak voor het middaguur gebeurde er een ernstig ongeval met een vrachtwagen en ten minste één personenauto.  


Ter hoogte van de Merwedebrug moest de rijbaan in beide richtingen worden afgesloten. Omstreeks 12:30 uur konden de slachtoffers onder meer door een traumahelikopter afgevoerd worden naar omliggende ziekenhuizen. Daarna kon begonnen worden met het bergen van de betrokken voertuigen, meldt de Verkeersinformatiedienst.",10/04/2019
