Titel,Artikel,Datum,,
Enternaar (21) verongelukt op Holtdijk te Markelo., - Een 21-jarige Enternaar is gisterochtend dood aangetroffen in een sloot aan de Holtdijk in Markelo. De politie ging op onderzoek uit na een melding dat er een auto in de sloot lag. Op de Holtdijk troffen de agenten een ravage aan. Verschillende auto onderdelen lagen verspreid op de weg. De auto zelf lag in de sloot met het stoffelijk overschot van de Enternaar ernaast. Onduidelijk is nog wat de oorzaak van het ongeluk is geweest. [img][img],2003-01-20,,
Boxtel: Man (22) uit Boxtel verongelukt ,"
	  Een 22-jarige inwoner van Boxtel is donderdagavond overleden aan de verwondingen die hij opliep bij een verkeersongeval op de Bosscheweg in zijn woonplaats. Dat meldde de politie vrijdag.  Het slachtoffer verloor donderdag omstreeks 17.45 uur tijdens het inhalen van enkele auto’s vermoedelijk de macht over het stuur en botste tegen een boom. De man werd overgebracht naar het ziekenhuis waar hij later op de avond is overleden. 		",2009-11-12,,
Ulft - Ulftse (65) omgekomen bij ongeval,"
	  Ulft - Een 65-jarige vrouw uit Ulft is vrijdagavond overleden bij een ongeluk in haar woonplaats. De vrouw wilde rond zes uur de Debbeshoek oversteken. Een 57-jarige automobilist merkte haar niet op en reed haar aan. Waarom hij de vrouw niet zag is onduidelijk. De Ulftse is ter plaatse overleden aan haar verwondingen. De weg was geruime tijd afgesloten voor verkeer.		",2006-11-24,,
Ongeluk bij Kruisstraat: een dode, - Bij een ongeluk op de provinciale weg N50 tussen Oss en Den Bosch is zondagochtend een 35-jarige man uit Vlijmen om het leven gekomen. Bij de plaats Kruisstraat raakte het slachtoffer met de wielen van zijn auto in de middenberm en reed hij tegen een boom.  Door het ongeluk stond er enige tijd een file op de weg richting Den Bosch.,2003-05-11,,
Ravenstein: Man geschept door trein bij station ,"Ravenstein: Man geschept door trein bij station  
	  Bij station Ravenstein is vrijdagavond rond tien uur een man geschept door een trein. Hij kwam daarbij om het leven. De politie spreekt over een noodlottig ongeval.   Volgens een omstander, die het ongeluk zag gebeuren, probeerde de man van rond de dertig jaar oud een stoptrein te halen. Hij stak de spoorwegovergang bij het station over, ondanks dat de bomen gesloten waren. Vervolgens werd hij geschept door een passerende sneltrein. De politie heeft bij het station onderzoek gedaan. Reizigers tussen Oss en Wijchen moesten vanwege het onderzoek de rest van de avond de bus nemen. Wie verder wilde, kon omreizen via Utrecht. De vertraging liep op tot ongeveer een uur, liet de NS weten.  Zaterdagmorgen rijden de treinen tussen Oss en Wijchen weer volgens de dienstregeling. ",2013-08-02,,
Automobilist komt om in Emmeloord,"Automobilist komt om in Emmeloord Zaterdagochtend kreeg de politie een melding van een voorbijganger, die aangaf dat op het nieuwe gedeelte van het industrieterrein een auto op de kop in de sloot lag. Agenten gingen ter plaatse en troffen de wagen aan, waarin zich een man bevond. Hij bleek overleden te zijn. Na onderzoek werd duidelijk dat het om een 74-jarige inwoner uit Westwoud ging. Vermoedelijk heeft de bestuurder in de buurt van de rotonde op de Marknesserweg niet tijdig ingeschat dat de weg daar op een gegeven moment ophoudt. De man heeft volgens de verkeersongevallenanalist van de politie nog geprobeerd te remmen om zo niet in de droge sloot te belanden. Onderzoek heeft tot slot uitgewezen dat het ongeval waarschijnlijk de avond ervoor, rond de klok van negen uur heeft plaatsgevonden. 		",2003-09-19,,
A32 - Akkrum: Gewonde en dode bij ernstig ongeval,"
	  Op de A32 heeft dinsdagavond een ernstig ongeval plaats gevonden. Hierbij zijn een dode en een gewonde gevallen. Meerdere brandweerkorpsen en ambulances kwamen ter plaatste. De weg richting Leeuwarden werd afgesloten. Ook het mobiel medisch team kwam per auto ter plaatse. Bij het ongeval waren drie auto's betrokken, twee daarvan zijn op een auto met pech gebotst. Een 45 jarige Leeuwarder was de bestuurder van de auto met pech, hij raakte niet gewond. Een 37 jarige bestuurder uit Leeuwarden is om het leven gekomen, een 66 jarige Leeuwarder is gewond geraakt. Wegens ongevalsonderzoek is de A32 van Heerenveen richting Leeuwarden ter hoogte van Akkrum nog tot 23:30 afgesloten, daarna wordt 1 rijbaan vrijgegeven. Er zal vervolgens een spoedreparatie aan de vangrail plaatsvinden. Politie.nl schrijft: Autobestuurder komt om het leven bij ongeval op A32 Een 37-jarige inwoner van Leeuwarden is dinsdagavond om het leven gekomen bij een verkeersongeval op de A32. Een 45-jarige autobestuurder uit Leeuwarden die vanuit de richting Heerenveen in de richting van Leeuwarden reed kreeg autopech en parkeerde zijn voertuig op de vluchtstrook van de A32 kort na het aquaduct. Nadat hij een gevarendriehoek achter zijn voertuig had geplaatst belde hij de pechhulpdienst. Tegelijkertijd zag hij zijn voertuig, dat op het hellende gedeelte van de rijbaan stond, achteruit rollen. Tevergeefs heeft hij hierna getracht het voertuig te stoppen maar deze rolde de beide rijstroken over en kwam in de middenberm bij de vangrail tot stilstand. De bestuurder heeft hierna geprobeerd het achterop komende verkeer via lichtsignalen met zijn telefoon te waarschuwen. Een achterop rijdende 66-jarige inwoner van Leeuwarden die op de linkerrijstrook reed, hij had zojuist een voor hem rijdende auto ingehaald, kon een aanrijding met de pechauto niet meer voorkomen, botst tegen de vangrail en zwiepte hierna de rijbaan weer op. Daar werd zijn auto geraakt door het voertuig van een 37-jarige autobestuurder uit Leeuwarden. Deze 37-jarige bestuurder raakte hierbij zwaar gewond en overleed ter plaatse. De 66-jarige man werd snel door een getuige uit zijn voertuig gehaald en in veiligheid gebracht. Hij raakte bij de aanrijding gewond en moest met onbekend letsel overgebracht worden naar het ziekenhuis.",2017-11-07,,
Amstelveen: Zwaargewonde fietser overleden,"Amstelveen: Zwaargewonde fietser overleden 
	  De zwaargewonde 54-jarige fietser, die in de nacht van zaterdag op zondag op de Noorddammerweg is aangetroffen, is aan zijn verwondingen overleden. Specialisten van Team Opsporing Ernstige Verkeersongevallen (TOEV) en Forensische Opsporing (FO), hebben uitgebreid onderzoek verricht.  Het is vooralsnog onduidelijk wat er is gebeurd en hoe het slachtoffer gewond is geraakt. Voorbijgangers troffen omstreeks 02.30 uur de zwaargewonde fietser aan en alarmeerden de hulpdiensten. Ambulance- en politiepersoneel verleenden eerste hulp en hebben de man gereanimeerd. Het slachtoffer is overgebracht naar een ziekenhuis en opgenomen op de intensive care. In de nacht van zondag op maandag is het slachtoffer in het ziekenhuis overleden. Politie zoekt getuigen Het onderzoeksteam is op zoek naar getuigen die in de nacht van zaterdag op zondag jl. tussen 02.00 uur en 02.45 uur een man hebben zien fietsen op de Noorddammerweg of in de directe omgeving hiervan. Wie heeft iets gehoord of gezien dat kan bijdragen aan het onderzoek en naar de toedracht van dit voorval? Neem dan contact op met de politie via 0900-8844 of bel met Meld Misdaad Anoniem via 0800-7000",2017-04-09,,
Eindhoven: Dodelijk ongeval bij Van Abbe,"Eindhoven: Dodelijk ongeval bij Van Abbe 
	  Bij een ongeval op de Wal in Eindhoven is woensdagavond rond 19.30 uur een dodelijk slachtoffer gevallen. 2 motoren kwamen vanuit de stad richting het Van Abbemuseum. Ze zijn daar op elkaar gebotst waardoor ze ten val kwamen. 1 persoon schoof met zijn motor door richting verkeerslichten. Hij heeft het ongeluk overleefd. De andere motorrijder kwam voor de brug ten val en raakte waarschijnlijk een lantaarnpaal. Die klap is hem fataal geworden. Ambulancepersoneel heeft geprobeerd hem te reanimeren, maar de hulp kwam te laat. Het slachtoffer overleed ter plekke. De andere man is meegenomen naar het politiebureau voor verder onderzoek. 		",2010-05-19,,
Schoonrewoerd: Bestuurder bestelbus overleden na ongeval,"Schoonrewoerd: Bestuurder bestelbus overleden na ongeval. Een 27-jarige man uit Rhenoy is donderdagavond overleden na een ongeval op de Overboeicop in Schoonrewoerd. Specialisten van het Team Verkeer stellen een onderzoek in naar de exacte toedracht. De 27-jarige man reed rond elf uur in een bestelbus over de Overboeicop in Schoonrewoerd. Door nog onbekende oorzaak verloor hij de macht over het stuur en belandde tegen een boom. Het slachtoffer raakte zeer ernstig gewond.    Brandweerlieden en ambulancepersoneel haalden het slachtoffer uit de bus. Hij werd overgebracht naar het ziekenhuis, waar hij later aan zijn verwondingen overleed. De politie stelt een nader onderzoek in naar de oorzaak van het ongeval.",2017-11-30,,
Twee doden en vier gewonden bij ongeluk Escharen,"Twee doden en vier gewonden bij ongeluk Escharen  - Bij een ernstig verkeersongeluk even buiten het dorp Escharen zijn gistermiddag twee doden en vier zwaargewonden gevallen.  De dodelijke slachtoffers zijn een vijftienjarige jongen met de Armeense nationaliteit uit Grave en een evenoude plaatsgenoot van Azerbeidzjaanse komaf.  De achttienjarige Graafse bestuurder raakte, evenals een zeventienjarige jongen en twee meisjes van veertien jaar uit Grave, zwaar gewond.  Door nog onbekende oorzaak raakte de personenauto met de zes inzittenden van de Hoogeweg, de doorgaande weg tussen Escharen en Langenboom, om vervolgens frontaal tegen een boom langs de kant van de weg te botsen.  Voor de politie ter plekke was het gistermiddag nog een raadsel hoe het eenzijdige ongeluk op het rechte stuk weg heeft kunnen gebeuren. Remsporen op het asfalt ontbreken.  Ook het sporenonderzoek van de politie heeft gisteravond nog geen duidelijkheid kunnen geven over de oorzaak. Eén gewonde is met de traumahelikopter afgevoerd, de anderen zijn per ambulance naar ziekenhuizen in de omgeving gebracht. Er moest zelfs nog een tweede ambulanceteam worden gewaarschuwd, omdat hulpverleners het te kwaad kregen bij de aanblik van de ravage en de slachtoffers. In totaal kwamen vijf ziekenwagens en enkele brandweerauto's om te assisteren. Zowel de brandweerkorpsen van Mill als Grave moesten eraan te pas komen om de inzittenden uit het wrak te halen.  Ruim anderhalf uur nadat de meldkamer van de politie even na één uur de eerste melding van het ongeluk binnenkreeg, konden de twee doden pas geborgen worden. Met stukken zeil werd de plaats van het ongeluk tijdens de berging afgeschermd voor de vele pottenkijkers.  Het verkeer tussen Grave en Mill werd al die tijd ter hoogte van discotheek 't Huukske in Langenboom en bij het sportpark van voetbalclub Estria omgeleid.  Burgemeester Zelissen van Grave en zijn ambtgenoot Van Beers van Mill en Sint-Hubert waren snel ter plaatse om zich op de plek van het ongeluk te laten bijpraten door hulpverleners. Op de brandweerkazernes werd vervolgens eerste psychische hulp geboden aan brandweerlieden die dat wensten. 		",2003-04-04,,
Arnhem: Scooterrijder (74) overleden bij ongeval,"
	  Bij de Esso aan de Burgemeester Matsersingel in Arnhem is dinsdagochtend een 74-jarige scooterrijder uit Arnhem overleden nadat hij werd aangereden door een auto. Er is een traumahelicopter ingezet om het slachtoffer nog te redden, maar de hulp mocht niet baten. Het ongeval, dat rond 10.00 uur gebeurde, is te wijten aan een trieste samenloop van omstandigheden. De Arnhemmer reed op het fietspad tegen het verkeer in en droeg geen helm. De automobilist, een 33-jarige inwoner uit de gemeente Lingewaard, reed weg bij een tankstation en had de scooterrijder totaal niet uit die richting verwacht. Ook struiken beperkte het zicht van de bestuurder van de auto. Hierdoor ontstond de fatale aanrijding. Link naar foto: http://www.gelderlander.nl/polopoly_fs/1.4052720.1381827548!/image/image.jpg_gen/derivatives/fixed_width_500/image-4052720.jpg		",2013-10-15,,
Berkel en Rodenrijs: Motorrijder overleden na aanrijding ,"Berkel en Rodenrijs: Motorrijder overleden na aanrijding  
	  Een 47-jarige motorrijder uit Voorschoten is donderdagavond overleden na een aanrijding met een bestelbus in Berkel en Rodenrijs (gemeente Lansingerland). Bij het afslaan op de Noordeindseweg zag de bestuurder van de bus, een 27-jarige man uit Waddinxveen, de motor over het hoofd. Dat heeft de politie vrijdag gemeld. 		",2008-06-26,,
Amsterdam: Automobilist in water en overlijdt,"Amsterdam: Automobilist in water en overlijdt 
	  Een bestuurder van een personenauto is door nog onbekende oorzaak in het water geraakt ter hoogte van de Nassaukade in Amsterdam-West. Duikers van de brandweer moesten de man uit het water halen. Hij overleed korte tijd later in een ziekenhuis, liet de brandweer weten. Het voertuig raakte rond 14.30 uur te water. Omstanders en even later brandweerlieden sprongen er achteraan om het slachtoffer te redden, maar dat lukte niet omdat de auto te diep lag. Een duikteam van de brandweer moest er uiteindelijk aan te pas komen om de bestuurder eruit te halen.",2007-05-24,,
Well: Wielrenner dood na ongeluk met tractor,"Well: Wielrenner dood na ongeluk met tractor 
	  Bij een verkeersongeluk in het Limburgse Well is woensdagochtend een wielrenner om het leven gekomen. Iets voor 12.00 uur reed de wielrenner op de Elsterendijk achter een tractor met een gierton. Bij de kruising met ’t Leuken reed de trekker opeens achteruit. Het slachtoffer kon het voertuig niet meer ontwijken, meldt de politie. De traumahelikopter rukte uit om medische hulp te bieden, maar dat mocht niet meer baten. Het slachtoffer overleed ter plaatse. De identiteit van het slachtoffer is nog niet bekendgemaakt. Het slachtoffer dat woensdagmorgen om het leven kwam bij het ongeluk op de Elsterendijk is een 74-jarige man uit Woubrugge. Hij is ter plekke aan zijn verwondingen overleden. De tractor werd bestuurd door een 36-jarige man uit Overloon. 		",2009-07-08,,
Tilburg: Slachtoffer ernstig ongeluk was 55-jarige Tilburger,"
	  De man die donderdagmiddag om het leven kwam bij een ernstige aanrijding op de Dongenseweg in Tilburg, was een 55-jarige Tilburger. Dat meldt de politie vrijdag.  De aanrijding tussen een personenauto en vrachtwagen gebeurde donderdagmiddag rond half twee. Medewerkers van de hulpdiensten nog geprobeerd het leven van het zwaargewonde slachtoffer te redden. maar dat mocht niet meer baten. De man is ter plaatse aan zijn verwondingen overleden.  De politie heeft onderzoek gedaan. Daaruit is gebleken dat de personenauto door onbekende oorzaak op de verkeerde weghelft terecht is gekomen.  Verschillende mensen waren getuige van de aanrijding. Voor hen en voor de chauffeur van de vrachtwagen is slachtofferzorg geregeld.  http://www.omroepbrabant.nl/?news/2609281083/Bestuurder+ernstig+gewond+na+botsing+vrachtwagen+met+auto+in+Tilburg.aspx https://www.google.nl/maps/@51.5899906,5.0314761,3a,75y,126.41h,87.96t/data=!3m6!1e1!3m4!1sFbt_5vrHcTbQlwv8HM8atg!2e0!7i13312!8i6656!6m1!1e1 http://imgb.igcdn.nl/69c9f1cfc30e46c58acd54d233740d50/opener/Foto_Koen_WoutersStuve_Fotografie_.jpg http://www.bndestem.nl/polopoly_fs/1.6876431.1486048546!/image/image.jpg_gen/derivatives/landscape_800_600/image-6876431.jpg http://www.bndestem.nl/polopoly_fs/1.6875915.1486040442!/image/image.jpg_gen/derivatives/landscape_800_600/image-6875915.jpg",2017-02-02,,
N65: Motorrijder komt om door ongeval,"N65: Motorrijder komt om door ongeval 
	  Een 30-jarige motorrijder uit Vught is donderdag om het leven gekomen door een ongeval op de N65 bij zijn woonplaats. De politie heeft dat vrijdag bekendgemaakt. De man ging door nog onbekende oorzaak onderuit en kwam tegen de vangrail terecht. Personeel van de traumahelikopter verleende assistentie. Het slachtoffer werd overgebracht naar een ziekenhuis in Den Bosch. Daar is hij later aan zijn verwondingen bezweken.",2006-06-29,,
A2 - Gronsveld: Dode op Limburgse snelweg (deel 1),"
	  Bij twee ongevallen op de Limburgse snelwegen, zijn maandagavond twee personen om het leven gekomen. Bij een eenzijdige aanrijding op de A2 ter hoogte van Gronsveld, is maandagavond rond 21.40 uur de bestuurder om het leven gekomen. Het slachtoffer is een 32-jarige inwoner van Luik. Door nog onbekende oorzaak raakte het voertuig van de weg en kwam tegen een boom terecht in een lager gelegen talud.",2008-07-28,,
A7 - Nijland: Eenzijdig ongeval met dodelijke afloop,"
	  Een 61-jarige man uit Emmeloord is dinsdagochtend als gevolg van een eenzijdig ongeval overleden. Op de A7 ter hoogte van Nijland raakte de automobilist, door nog onbekende oorzaak, met zijn personenauto van de weg. Hierdoor belandde hij in de naastgelegen sloot. Het voertuig is uit de sloot getakeld waarna de brandweer het dak van de auto eraf kon knippen en het slachtoffer uit het voertuig kon halen. De man is ter plaatse aan zijn verwondingen overleden. Het verkeer werd tijdelijk omgeleid. Na enkele uren werd de weg weer vrijgegeven.  Bureau Verkeersongevalsanalyse stelt een onderzoek in naar de toedracht van het ongeval.		",2009-09-01,,
Nieuwerkerk aan den IJssel: Koppel aangereden na val van tandem,"Nieuwerkerk aan den IJssel: Koppel aangereden na val van tandem 
	  In Nieuwerkerk aan den IJssel is dinsdagavond een 49-jarige vrouw uit Capelle aan den Ijssel om het leven gekomen bij een aanrijding met een auto. Haar echtgenoot raakte gewond aan zijn hoofd en ribben. De vrouw zat samen met haar echtgenoot op een tandem. Op de Bermweg raakte de fiets plotseling uit balans waardoor het koppel viel.  Een 42-jarige automobiliste uit Nieuwerkerk kon het tweetal niet meer ontwijken. De vrouw uit Capelle aan den Ijssel overleed ter plaatste. Haar 55-jarige echtgenoot is met hoofletsel en gekeusde ribben vervoerd naar het ziekenhuis. Hij bestuurde de tandem.		",2006-12-26,,
A79 - Meerssen: Slachtoffer dodelijk ongeval A79 is 26-jarige man,"
	  De automobilist die dinsdagochtend op de A79 om het leven kwam bij een ongeluk, is een 26-jarige man uit Meerssen. Het slachtoffer belandde rond 7:10 uur met zijn auto in de middenberm en botste vervolgens tegen een boom aan de rechterkant van de weg. Hulp mocht niet meer baten. Volgens een getuige raakte de auto van de man tijdens een inhaalmanoeuvre met de linker wielen in de middenberm van de weg. De politie vermoedt dat de bestuurder vervolgens tegenstuur heeft gegeven en daardoor de macht over het stuur is verloren. Zijn auto kruiste vervolgens alle rijstroken en belandde met de flank tegen een boom. De toegesnelde hulpdiensten konden niks meer voor het slachtoffer betekenen. Hij overleed ter plaatse aan zijn verwondingen. De politie is op zoek naar andere getuigen. Meer weggebruikers moeten het ongeluk hebben zien gebeuren. De politie vraagt getuigen zich te melden zodat ze een volledig beeld krijgen van de manier waarop het ongeval is gebeurd. http://www.1limburg.nl/sites/default/files/public/styles/gallery_detail/public/a79robgaastra.jpg?itok=8mPcfKcH http://www.1limburg.nl/sites/default/files/public/styles/gallery_detail/public/a79robgaastra2.jpg?itok=jPG1Qff4",2017-05-02,,
Dordrecht - Dodelijk slachtoffer na eenzijdig ongeval,"Dordrecht - Dodelijk slachtoffer na eenzijdig ongeval 
	  Dordrecht, 21-11-2006 • Na een eenzijdig ongeval op de rijksweg A16 bij Dordrecht is een slachtoffer overleden. Het ongeval gebeurde op dinsdagmiddag 21 november 2006 rond 16.00 uur in de richting van Breda tussen de afslag ’s-Gravendeel en de Moerdijkbrug. Wat er precies plaatsvond is nog niet duidelijk. Volgens getuigen wilde de betrokken personenauto een baan opschuiven naar links. Kennelijk ging dat niet goed en stuurde het voertuig naar rechts. De auto belandde op zijn kop in de sloot langs de snelweg. Weggebruikers die direct stopten en hulpverleners van de toegesnelde brandweer, ambulancedienst en politie haalden de drie inzittenden uit de auto. Uiteindelijk brachten ambulances de inzittenden, een man, vrouw en kind, in zorgwekkende toestand naar ziekenhuizen in Dordrecht en Zwijndrecht. In het ziekenhuis overleed later de mannelijke inzittende. De politie onderzoekt wie de slachtoffers zijn. Door het ongeval ontstonden tijdens de avondspits lange files.		",2006-11-21,,
