Toponiemen,Locaties,,flitsservice_testset.csv
"bij Wapserveen,uit Heerenveen,Drenthe,op van_Helomaweg,op Van_Helomaweg,in Havelte,Op Van_Helomaweg, in Havelte,van_Helomaweg","52.79047,6.21636, Van_Helomaweg,3000;52.9986,6.0005,Heerenveen,1000;",,
"Denekamp,in Denekamp,op Ootmarsumsestraat,in Denekamp,uit Denekamp,kruising [Ootmarsumsestraat,Brinkstraat],in Denekamp","52.37570,7.00413,Brinkstraat,50;",,
"A76, Heerlen, A76,op A76,in Heerlen,uit Aken,door Bocholtz","50.87595,5.95535,A76,8000;50.7597,6.0967,Aken,1000;50.8184,6.0065,Bocholtz,300;",,
"N302,tussen [Enkhuizen, Lelystad],nabij Houtribsluizen,in Lelystad,uit Hoorn,naar Sofia-ziekenhuis,in Zwolle,vanuit Lelystad,richting Enkhuizen,vanuit Enkhuizen,Flevoland,Flevoland,Enkhuizen-Lelystad,Flevoland,Noord-Holland","52.5324,5.4262,Houtribsluizen,3000;52.6315,5.0743,Hoorn,400;52.5125,6.1241,Sofia-ziekenhuis,500;52.5478,5.5389,Flevoland,15000;52.6922,4.9274,Noord-Holland,15000;",,
"Amstelveen,op Noorddammerweg,in Amstelveen,uit Uithoorn","52.27487,4.82045,Noorddammerweg,2000;52.2338,4.7879,Uithoorn,500;",,
"uit Hardinxveld-Giessendam,Rivierdijk,uit Sliedrecht,uit Hardinxveld-Giessendam,op Rivierdijk,hoogte Kanaaldijk-Zuid,in Hardinxveld_Giessendam, naar Erasmus_MC,in Rotterdam","51.82083,4.85870,Kanaaldijk-Zuid,150;51.8308,4.7705,Sliedrecht,500;51.9113,4.4681,Erasmus_MC,500;",,
"uit Midsland,op West-Terschelling,over Gerrit_Knoplaan,op West,kruising Europalaan,uit Midsland,over Gerrit_Knoplaan, op West,kruising Europalaan,uit West","53.3764,5.2812,Midsland,700;53.36623,5.21756,Europalaan,100;",,
"uit Hollandscheveld, aan Thijs_Thalenstraat,uit Tiendeveen","52.71044,6.53332,Thijs_Thalenstraat,100;52.7464,6.5442,Tiendeveen,500;",,
"Lelystad,op Zuigerplasdreef,in Lelystad,in Amsterdam,in Lelystad,op Zuigerplasdreef,hoogte Larserdreef,in Amsterdam,in Amsterdam","52.4933,5.4814,Larserdreef,100;52.3547,4.9040,Amsterdam,1000;",,
"Neerijnen,op 1e_Tieflaarsestraat,uit Waardenburg","51.8455,5.2869,1e_Tieflaarsestraat,1500;51.8313,5.2575,Waardenburg,800;",,
"op N224,bij Ede,A30,richting Barneveld","52.04606,5.62151,A30,100;",,
"Den_Haag,Vrederustlaan,Vrederustlaan,kruising [Erasmusweg,Vrederustlaan],vanaf Erasmusweg,Vrederustlaan,uit Rotterdam,naar HagaZiekenhuis/locatie_Leyweg","52.03643,4.27217,Erasmusweg,100;51.9234,4.2713,Rotterdam,1000;52.05553,4.26313,HagaZiekenhuis/locatie_Leyweg,500;",,
"op A73,bij Boxmeer,op A73,tussen [Boxmeer,Venlo],uit Venray,Bij Boxmeer","51.6337,5.9254,Boxmeer,4000;51.5085,5.9896,Venray,500;",,
"aan Tollensstraat,van De_Hallen","52.36727,4.86880,De_Hallen,200;",,
"in Burgum,uit Burgum,op Menno_van_Coehoornweg,in Burgum,van UMCG,naar MCL,in Leeuwarden","53.2050,6.0054,Menno_van_Coehoornweg,800;53.2233,6.5732,UMCG,200;53.1890,5.8046,MCL,200;",,
"Putten,uit Nijkerk,in Putten,vanaf Beulekampersteeg,Voorthuizerstraat,vanuit Putten,uit Krimpen_aan_den_Ijssel","52.22290,5.60701,Beulekampersteeg,50;52.2149,5.5140,Nijkerk,500;51.9167,4.5961,Krimpen_aan_den_Ijssel,700;",,
"Hoogvliet,op Leerlooierstraat,kruising Hoefsmidstraat,van Spijkenisse","51.87226,4.37347,Leerlooierstraat,50;51.8465,4.3288,Spijkenisse,500;",,
"van Midwolda,op Tweekarspelenweg,tussen [Winschoten,Bellingwolde],richting Bellingwolde,in Groningen","53.1950,7.0126,Midwolda,400;53.1311,7.1104,Tweekarspelenweg,5000;53.2097,6.6176,Groningen,700;",,
"uit Rijsbergen,in Baarle-Nassau,op Bredaseweg,uit Rijsbergen","51.5159,4.7005,Rijsbergen,600;51.4565,4.9178,Bredaseweg,2000;",,
"uit Noord-Beveland,in Brugge,op Oost_Westweg,in Wissenkerke,over Oost_Westweg,richting Goes,richting Kamperland,in Goes,Vlissingen,richting Geersdijk,Oost_Westweg,richting Kamperland,uit Noord-Beveland,in Goes,naar Erasmus_MC,in Rotterdam,in Goes","51.5653,3.7690,Noord-Beveland,15000;51.2609,3.2220,Brugge,1000;51.5768,3.7575,Oost_Westweg,100;51.5034,3.8898,Goes,500;51.4946,3.5225,Vlissingen,500;51.9113,4.4681,Erasmus_MC,500",,
"op A10,bij Amsterdam,richting Watergraafsmeer","52.3644,4.9703,A10,7000;",,
"Den_Haag,op Monsterseweg,op Monsterseweg,in Den_Haag,Monsterseweg,in Den_Haag","52.0482,4.2192,Monsterseweg,1500;",,
"op A4,bij Halsteren,op A4,op A4,op A4,Eschweiler,richting Bergen_op_Zoom,richting Rotterdam,uit Schoonhoven,uit Leiden,uit Rotterdam","51.5454,4.2945,A4,5000;50.8312,6.2657,Eschweiler,800;51.9507,4.8492,Schoonhoven,700;52.1518,4.4815,Leiden,700;51.9234,4.2713,Rotterdam,700;",,
"in Haaften,uit Herwijnen,over Graaf_Reinaldweg,richting Herwijnen,uit Herwijnen","51.8297,5.1986,Graaf_Reinaldweg,2000;51.8277,5.1304,Herwijnen,700;",,
"uit Appingedam,langs Woldjerweg","53.3187,6.8457,Appingedam,700;53.2957,6.7327,Woldjerweg,500;",,
"op Oldenzaalsestraat,in Lonneker,over Oldenzaalsestraat,vanaf Oldenzaal,van Lonneker,uit Spier, Drenthe,uit Enschede","52.2500,6.9154,Oldenzaalsestraat,2000;52.8192,6.4676,Spier,700;52.2234,6.8685,Enschede,700;",,
"aan Lopikerweg_West,in Lopik,richting Schoonhoven,kruising Nicolaas_van_Catsweg,uit Benschop,Gouda,Gouderak,van Lopik,uit Benschop","51.96478,4.89762,Nicolaas_van_Catsweg,300;52.0090,4.9789,Benschop,500;52.0182,4.7084,Gouda,500;51.9851,4.6755,Gouderak,500",,
"uit Ede,op Arnhemseweg,in Renswoude,uit Woudenberg","52.0717,5.7491,Ede,800;52.0731,5.5428,Arnhemseweg,1000;52.0802,5.3981,Woudenberg,800;",,
"Rotterdam,in Rotterdam,bij Cobelfret_Ferry,in Botlekgebied","51.9234,4.2713,Rotterdam,1000;",,
"op A28,bij Zwolle,uit Twello,richting Meppel,van A28,op A28,bij Zwolle,op A28,bij Zwolle,in Zwolle,op A28,bij Zwolle,van A28","52.5226,6.0956,A28,5000;52.2357,6.1043,Twello,800;",,
"op Oud_Vossemeersedijk,bij Tholen,van Nieuwdorp,op Oud_Vossemeersedijk,uit Poortvliet,in Rotterdam","51.5534,4.2257,Oud_Vossemeersedijk,1500;51.4709,3.7398,Nieuwdorp,800;51.5456,4.1447,Poortvliet,800;51.9234,4.2713,Rotterdam,1000;",,
"kruising [Oosterweg,N57],in Ouddorp,in Zeist,richting Stellendam,uit Ellemeet","51.80846,3.94481,Oosterweg,100;52.1148,5.2628,Zeist,800;51.7299,3.8161,Ellemeet,700",,
"uit Kampen,langs Europa-allee,hoogte Acacialaan,uit Kampen,uit Kampen","52.54503,5.91816,Acacialaan,50;",,
