Unnamed: 0,Titel,Artikel,Datum
10,Dode en 5 gewonden bij ongeluk in Echteld (video) | Neder-Betuwe | gelderlander.nl,"
									ECHTELD - Bij een ongeval met 2 auto's en een vrachtwagen op De Diepert in Echteld is zaterdagavond een 29-jarige man uit Lienden overleden. Ook raakten er 5 mensen uit Ophemert gewond. Dat meldt de politie. Het ongeluk gebeurde rond 19.30 uur op de linkerrijbaan van de weg. De precieze oorzaak van het ongeluk is nog niet bekend.  Het dodelijke slachtoffer is de bestuurder van een van de betrokken auto's. De 5 gewonden zaten in de andere betrokken auto en zijn met ambulances naar de ziekenhuizen in Tiel en Nijmegen gebracht. De 47-jarige bestuurder hiervan liep vermoedelijk een botbreuk op en zat bekneld in zijn auto. Zijn vrouw en kinderen in de wagen liepen alleen lichte verwondingen op, zoals sneetjes en kneuzingen. Zij zijn alleen ter controle naar het ziekenhuis gebracht.   Bij het ongeluk zijn meerdere ambulances en een traumahelikopter aanwezig geweest. Ook heeft de brandweer een gewonde uit een van de auto's moeten bevrijden. De ravage was enorm. De brokstukken van de auto's lagen over de hele weg verspreid. De politie heeft de weg na het ongeluk in beide richtingen afgesloten voor onderzoek. Het verkeer is tot ongeveer 23.00 uur zaterdagavond omgeleid. Daarna is de weg weer geopend. Bekijk hieronder een video over het dodelijke ongeval. ",08/01/17
11,Dode bij ernstig ongeval op A73 bij Horst | 1Limburg | Nieuws en sport uit Limburg,"Dode bij ernstig ongeval op A73 bij Horst | 1Limburg | Nieuws en sport uit Limburg Dode bij ernstig ongeval op A73 bij Horst Bij het ernstige ongeval op de A73 bij Horst is woensdag aan het begin van de avond ÃƒÂ©ÃƒÂ©n automobilist overleden. Het slachtoffer werd door de hulpdiensten nog gereanimeerd, maar dat mocht niet baten. Drie andere automobilisten raakten gewond. EÃƒÂ©n van hen is afgevoerd naar het ziekenhuis in Nijmegen, twee anderen konden ter plekke worden behandeld. Hulpdiensten sloegen groot alarm en zijn massaal ter plaatse, ook is er een traumahelikopter opgeroepen. Hoe het ongeval ontstaan is, is nog niet duidelijk.  Het is een grote ravage op de snelweg, die in noordelijke richting ten minste tot 22:00 uur afgesloten blijft. Bij het ongeval waren meerdere auto's betrokken, twee voertuigen vlogen in brand en gingen volledig in vlammen op.   traumaheli ter plekke.  Geen goed nieuws op de ",?/?/????
12,Hardloopster (19) overleden na botsing met trein | 1Limburg | Nieuws en sport uit Limburg,"Hardloopster (19) overleden na botsing met trein | 1Limburg | Nieuws en sport uit Limburg Een botsing met een trein op de Sint Jozefstraat in Oost-Maarland is maandagavond een 19-jarige vrouw uit Gronsveld fataal geworden.  Het ongeluk vond maandagavond rond 23:30 uur plaats. Het slachtoffer was in sportkleding gekleed aan het rennen. Toen zij bij de spoorwegovergang in de Sint Jozefstraat kwam, raakte ze in botsing met een Belgische trein die op het traject Maastricht Ã¢â‚¬â€œ Luik reed. Het politieonderzoek is inmiddels afgerond. De spoorbomen hebben volgens de politie gewoon gefunctioneerd. Na sporenonderzoek en verklaring machinist is de politie tot de conclusie 'noodlottig ongeval' gekomen.  Limburgs nieuws in je mailbox? ",?/?/????
13,Voetganger (72) overlijdt na aanrijding; automobiliste aangehouden - Omroep Gelderland,"

						Op de Ravenweg in Apeldoorn is vrijdagavond een voetganger overleden na een ongeluk met een auto. Het slachtoffer is een Apeldoorner van 72.

					 De 19-jarige automobiliste is aangehouden. Ze is op het politiebureau verhoord. Haar auto en haar telefoon worden onderzocht, meldt de politie.Ã‚Â  Het ongeluk gebeurde kort voor 22.00 uurÃ‚Â bij de kruising met de Hofveld.Ã‚Â  De politie heeft al met getuigen gesproken. Ook is een buurtonderzoek gedaan. De politieÃ‚Â is nog op zoek naar een taxichauffeur die mogelijk getuige was van de aanrijding. Reageren op dit bericht? Mail naar ",5/1/2018
14,Man (70) omgekomen bij brand in auto na aanrijding Nieuwvliet | Blik op nieuws,"Een 70-jarige inwoner uit Sluis is vrijdagmorgen om het leven gekomen tijdens een eenzijdige aanrijding bij Nieuwvliet. Dit maakte de regiopolitie Zeeland bekend. 
    Omstreeks 05.30 uur is op de Sint Bavodijk een personenauto tegen een boom gereden. Hierna vloog de auto van de man en enkele bomen in brand. Omstreeks 06.00 uur had de brandweer de vlammen onder controle en bleek de bestuurder van de auto te zijn overleden. Een onderzoek zal meer duidelijkheid moeten geven over de toedracht.  ",10/6/2011
15,Vrouw overleden na ongeval in Dordrecht - RTV Rijnmond,"Rijksstraatweg_Dordrecht 

						Bij een aanrijding tussen een fiets en een bestelbusje is dinsdagmiddag in Dordrecht een 74-jarige vrouw uit Mookhoek om het leven gekomen.

					 Het ongeval gebeurde rond half vier op de kruising van de Rijksstraatweg met de Kamerlingh Onnesweg. Personeel van de traumahelikopter heeft nog geprobeerd de vrouw te redden. Wat er precies is gebeurd, is nog niet bekend. De politie probeert daar via getuigen achter te komen. Daarnaast hebben verkeersongevalspecialisten van de politie onderzoek gedaan.",1/4/2014
16,Baby na aanrijding door opa overleden | NU - Het laatste nieuws het eerst op NU.nl,"Baby na aanrijding door opa overleden HEESWIJK-DINTHER - Een 1-jarig jongetje uit Oss dat vrijdagavond zwaargewond raakte toen hij door zijn opa werd aangereden op een camping in Heeswijk-Dinther, is overleden.  Dat meldde een woordvoerder van de politie zaterdag. De man reed over het terrein en parkeerde zijn auto. Daarbij zag hij zijn kleinzoon niet en reed tegen hem aan.  Het kind raakte ernstig gewond aan zijn hoofd en werd in kritieke toestand naar een ziekenhuis in Nijmegen gebracht. Daar overleed hij rond middernacht. Het ongeluk leidde op de camping tot grote beroering. Veel mensen waren erg geÃƒÂ«motioneerd. Slachtofferhulp heeft zich over hen ontfermd.",06/6/2019
17,Home | politie.nl,"
Wij gebruiken cookies om de website goed te laten werken en om volledig anoniem het gebruik van onze website te analyseren. Met uw toestemming plaatsen we ook cookies van derden. Door op ""Accepteren"" te klikken geeft u toestemming voor het plaatsen van deze derden cookies. Klikt u op ""Weigeren"", dan worden deze cookies niet geplaatst. Meer informatie over het gebruik van cookies op politie.nl vindt u in ons                     Als elke seconde telt Geen spoed, wel politie",?/?/????
18,Slachtoffer ongeval Ringbaan-Zuid in Tilburg aan verwondingen overleden | Default | bd.nl,"De fietser knalde op de voorruit van de auto en raakte bij de botsing ernstig gewond. Slachtoffer ongeval Ringbaan-Zuid in Tilburg aan verwondingen overleden 
									TILBURG - De 21-jarige man die donderdag 15 september werd aangereden op de Ringbaan-Zuid is in het weekend aan zijn verwondingen overleden. Dat heeft de politie maandag bevestigd. Er loopt nog een onderzoek naar de toedracht van het ongeval. De bestuurder van de auto is niet aangehouden.
 Het 21-jarige slachtoffer fietste in de nacht van donderdag op vrijdag over de Broekhovenseweg, komend vanuit de stad. Toen hij de kruising met de Ringbaan-Zuid wilde oversteken,   op de rijbaan richting Tilburg-West. De automobilist kwam met de schrik vrij. Het ongeval gebeurde precies twee maanden nadat op de Ringbaan-Zuid een 20-jarige fietsende vrouw uit Goirle werd aangereden. Dat gebeurde een stukje verderop, bij de kruising met de Tatraweg. De toestand van de   is nog steeds kritiek.",17/20/????
19,Bejaarde fietser overleden | Blik op nieuws,"Bejaarde fietser overleden Aldtsjerk - De 80-jarige fietser uit Oentsjerk, die maandagmiddag gewond raakte bij een ongeval op de Marwei in Aldtsjerk, is dinsdag ten gevolge van de aanrijding in het UMCG in Groningen overleden. De man stak op zijn fiets de Rhaladijk over en verleende daarbij geen voorrang aan een 41-jarige automobilist uit Hallum. De fietser werd met ernstig hoofdletsel overgebracht naar het UMCG in Groningen waar hij later aan zijn verwondingen is overleden.",03/07/2014
20,Aangereden vrouw (93) Alkmaar overleden - Noordhollands Dagblad,"De oudere vrouw die dinsdagmiddag in Alkmaar door een auto werd aangereden op de Vondelstraat, is overleden. Het gaat om een 93-jarige Alkmaarse. Een 58-jarige vrouw uit Egmond aan den Hoef reed rond 14.45 uur in haar auto over de Vondelstraat in de richting Kooimeer. Door de laagstaande zon en het natte glimmende wegdek was volgens de politie haar zicht beperkt. Ze zag niet dat het slachtoffer met haar rollator de rijbaan overstak.  en raakte zwaargewond. Ze werd met spoed overgebracht naar het ziekenhuis, waar zij bezweek aan haar verwondingen. De bestuurster van de auto is overgebracht naar het politiebureau voor verhoor. Meer nieuws uit Alkmaar",13/12/2017
21,"
      Dodelijk slachtoffer na dubbele aanrijding | Nieuwsbank
    ","
      Dodelijk slachtoffer na dubbele aanrijding | Nieuwsbank
    ",?/?/????
22,Slachtoffer ongeluk Apeldoorn is 25-jarige man uit Beekbergen | Apeldoorn | destentor.nl,"Slachtoffer ongeluk Apeldoorn is 25-jarige man uit Beekbergen  Het slachtoffer van het ongeval op de Arnhemseweg zaterdagochtend is een 25-jarige man uit Beekbergen. Dit meldt de politie.Ã‚Â  Annerieke van der Krift De bestuurder reed rond half zeven op de Arnhenseweg richting Beekbergen, toen hij de macht over het stuur verloor. Het is niet duidelijk hoe dit heeft kunnen gebeuren. De 25-jarige Beekbergenaar raakte vervolgens meerdere bomen en een lantaarnpaal. Hij werd uit de auto geslingerd en overleed ter plekke aan zijn verwondingen.Ã‚Â  De verkeersongevallenanalyse van de politie doet onderzoek naar de toedracht van het ongeluk.Ã‚Â  De auto is volledig total-loss na de enorme knal.",15/38/????
23,Fietser overleden bij aanrijding Secretaris Verhoeffweg - Regio15 - Het laatste nieuws uit de regio Haaglanden,Fietser overleden bij aanrijding Secretaris Verhoeffweg - Regio15 - Het laatste nieuws uit de regio Haaglanden  - Een fietser is vanmorgen overleden na een ongeval op de Secretaris Verhoeffweg. Het slachtoffer stak omstreeks kwart voor tien de weg over op de kruising bij de Prinses Julianastraat/Geestweg en werd daarbij vol geraakt door een auto die over de Secretaris Verhoeffweg reed. De fietser werd enkele meters weggeslingerd en kwam op het asfalt terecht. Omstanders verleenden direct eerste hulp. Dat werd later overgenomen door de bemanning van twee ambulances en het Mobiel Medisch Team uit Rotterdam.  Het slachtoffer werd gestabiliseerd en op een vacuÃƒÂ¼mmatras gefixeerd. Hierna is deze met spoed   vervoerd naar het MCH/Westeinde ziekenhuis. De arts van het MMT en de verpleegkundige van de tweede ambulance zijn meegereden met de ambulance.  verricht onderzoek naar het ongeval. De Secretaris Verhoeffweg is geruime tijd afgesloten in verband met het ongeval en het VOA-onderzoek. In de loop van de dag is het slachtoffer een 68-jarige man uit Naaldwijk in het ziekenhuis overleden aan zijn verwondingen.,?/?/????
24,Twee zussen in Margraten door tractor doodgereden | Binnenland | AD.nl,"Twee zussen in Margraten door tractor doodgereden Twee zussen van 85 en 88 jaar uit Margraten (Limburg) zijn woensdag in hun woonplaats om het leven gekomen door een verkeersongeval. Toen de voetgangsters rond 17.00 uur de Rijksweg overstaken, werden ze aangereden door een trekker met een grasmaaier ervoor. Dat heeft de politie gemeld. De trekker werd bestuurd door een 43-jarige man uit Echt. De politie is nog bezig met het onderzoek naar de aanrijding.",09/07/18
25,Dode bij ongeval met vrachtwagen en auto op N279 bij Asten is man uit Valkenswaard - Omroep Brabant,"

								Dode bij ongeval met vrachtwagen en auto op N279 bij Asten is man uit Valkenswaard

							 

						Bij een ongeluk op de N279 (Helmond-Roermond) bij Asten is vrijdagochtend een 28-jarige man uit Valkenswaard om het leven gekomen. Hij botste met zijn auto tegen een vrachtwagen. De truck werd bestuurd door een 50-jarige man uit Bergeijk. De weg gaat vrijdagmiddag weer open voor verkeer, het wegdek wordt schoongemaakt.

					 Volgens getuigen ging de auto van het slachtoffer door nog onbekende oorzaak slingeren en kwam die op de verkeerde weghelft terecht. De vrachtauto kon de auto daardoor niet meer ontwijken.Ã‚Â Ã‚Â Ã‚Â  De auto belandde na de botsing met de truck ondersteboven in de berm.Ã‚Â De N279 is vanwege het ongeluk afgezet.  Rijkswaterstaat adviseert automobilisten die vanaf de snelweg A67 (Venlo-Eindhoven) naarÃ‚Â Helmond willen, voorlopig de afrit Someren te nemen.",15/12/2017
26,Man overlijdt na ongeval | Blik op nieuws,"Man overlijdt na ongeval Een 21-jarige man uit Franeker is in de nacht van zaterdag op zondag overleden na een eenzijdig ongeval op de Franekerweg. 
    Agenten kregen omstreeks 1.50 uur de melding dat een auto te water was geraakt. Ter plaatse gekomen bleken twee personen al uit het voertuig waren en dat een 21-jarige man nog in de auto zat. Diverse hulpdiensten kwamen ter plaatse waaronder duikploegen van de brandweer en de traumahelikopter. Het slachtoffer werd door de duikploeg uit de auto gehaald en werd daarna in kritieke toestand per ambulance overgebracht naar het ziekenhuis in Leeuwarden. Daar is hij later aan zijn verwondingen overleden.  
De twee andere inzittenden, een 21-jarige man uit Franeker en een 16-jarig meisje uit Tzum, werden ter controle overgebracht naar het ziekenhuis. Vermoedelijk is het voertuig in de berm geraakt waarna een stuurcorrectie volgde. Daarna is de auto over de kop geslagen en in het water terecht gekomen. Bureau Ongevalsanalyse doet onderzoek naar de oorzaak van het ongeval.  ",13/6/2011
27,Voetganger verongelukt op A76 | Blik op nieuws,"Voetganger verongelukt op A76 Op de snelweg A76 ter hoogte van Spaubeek is in de nacht van vrijdag op zaterdag een man om het leven gekomen. Het slachtoffer wilde te voet de snelweg oversteken, meldt de politie. 
    Een auto kon de man niet meer ontwijken. Het slachtoffer, een 29-jarige Nederlander, was op slag dood. Onbekend is nog uit welke plaats de man komt.  
De snelweg is in verband met het onderzoek door het Verkeers Ongevallen Analyseteam ter hoogte van Spaubeek, vanuit de richting Heerlen, afgesloten en het verkeer wordt via Spaubeek en Neerbeek omgeleid.  ",27/2/2010
28,Dode bij eenzijdige aanrijding Katwijkerlaan - Regio15 - Het laatste nieuws uit de regio Haaglanden,"Dode bij eenzijdige aanrijding Katwijkerlaan - Regio15 - Het laatste nieuws uit de regio Haaglanden Een automobilist is maandagochtend op de Katwijkerlaan een naastgelegen sloot ingereden.Ã‚Â  Omstreeks kwart voor negen werd de meldkamer gealarmeerd voor een voertuig te water aan de Katwijkerlaan.Ã‚Â  De automobilist heeft vermoedelijk eerst een lantaarnpaal en mogelijk het betonnen bruggetje geraakt, en is vervolgens in het water terecht gekomen. Het is niet duidelijk of het gaat om 'een ongeval' door bijvoorbeeld glad wegdek; of dat de bestuurder bijvoorbeeld al rijdend onwel is geworden en daardoor van de weg is geraakt. De hulpdiensten zijn massaal uitgerukt. Onder andere twee ambulances, een traumahelikopter met het traumateam en diverse brandweerwagens hebben ondersteuning verleend. Duikers van de brandweer hebben de auto onderzocht op inzittenden. Er bleek ÃƒÂ©ÃƒÂ©n persoon in te zitten. Ondanks alle inspanningen van omstanders en hulpverleners is de bestuurder helaas ter plaatse overleden. De auto is met de kleine kraan van de brandweer uit het water getild.Ã‚Â De Katwijkerlaan blijft naar verwachting nog enige uren afgesloten t.b.v. sporenonderzoek door deÃ‚Â   Rond 14:00 werd de weg weer vrijgegeven. : het slachtoffer van het dodelijke ongeval is  Roy Wolters en Olav Spa",?/?/????
29,Dode bij aanrijding in St. Oedenrode | Blik op nieuws,"Dode bij aanrijding in St. Oedenrode Bij een aanrijding op de Schijndelseweg in Sint Oedenrode is zondagmorgen een fietsster om het leven gekomen. 
    Rond 10.00 uur kwamen een fietsster en en automobilist, een 29 jarige vrouw uit Schijndel, bij de oversteekplaats met elkaar in botsing. Ondanks de inzet van de hulpdiensten overleed het slachtoffer aan de verwondingen. De identiteit van de fietser is nog niet bekend..  ",27/5/2012
30,Motorrijder (64) omgekomen op A59 bij Vlijmen: 'Hij moest heel hard remmen' | Heusden | bd.nl,"VLIJMEN Ã¢â‚¬â€œ Bij een ongeluk op de A59 bij Vlijmen is donderdagochtend een motorrijder om het leven gekomen. Het gaat om een 64-jarige man uit Oudheusden. Volgens de politie moest hij heel hard remmen waarna hij de macht over het stuur verloor en viel. Onderzocht wordt waarom de motorrijder plotseling op de rem moest trappen. Hulpdiensten probeerden het leven van de man nog te redden door hem te reanimeren, maar dat mocht niet meer baten: het slachtoffer overleed ter plekke aan zijn verwondingen. De snelweg was tijdelijk afgesloten, maar ging omstreeks 12.00 uur weer open. Door het ongeluk liep de file vanaf Heusden in hoog tempo op. Volgens de ANWB bedroeg de vertraging meer dan een uur. Rijkswaterstaat adviseerde weggebruikers om te rijden bij knooppunt Hooipolder, via de A27 en A58. Toch namen veel automobilisten de lokale wegen rond Vlijmen en Drunen. Politie en verkeersregelaars probeerden de boel in goede banen te leiden, maar zij konden niet voorkomen dat het verkeer op sommige plaatsen compleet vast stond. Volgens de verkeersdiensten was de motorrijder vermoedelijk onwel geworden. Dat lijkt na onderzoek van de politie wellicht toch niet te kloppen. Dodelijk ongeluk op de A59 bij Vlijmen",12/36/????
31,Pagina niet gevonden Ã¢â‚¬â€œ Noordernieuws,"Deze pagina wil niet laden Sorry, deze pagina doet het niet! Groningen Ã¢â‚¬â€œ Op de N7, Weg der Verenigde Naties, bij Groningen is donderdagmiddag heeft ongeval... Groningen Ã¢â‚¬â€œ Vanwege een brand in het dak van een woning aan het Boterdiep, je... Sint Nicolaasga Ã¢â‚¬â€œ Bij een brand in zorggebouw WilhelminaOord aan de Sietze Hepkemalaan in Sint... Elp Ã¢â‚¬â€œ Een automobilist is woensdagavond op de SchoonloÃƒÂ«rweg in Elp tegen een boom gebotst.... Groningen Ã¢â‚¬â€œ Een jongeman die dacht de zon te kunnen aanbidden, moest woensdagavond door de... Klijndijk Ã¢â‚¬â€œ Op de N34 ter hoogte van Klijndijk zijn woensdag aan de einde van... Drachten Ã¢â‚¬â€œ Op de kruising van de Noordkade en de Torenkade is woensdagmiddag een scootmobiel... Dokkum Ã¢â‚¬â€œ In de Fonteinkerk op de Keppels in Dokkum waren woensdagmiddag meerdere personen bezig...",6/6/2019
32,Bromfietser (18) bezwijkt aan verwondingen na ongeval | 1Limburg | Nieuws en sport uit Limburg,"Bromfietser (18) bezwijkt aan verwondingen na ongeval | 1Limburg | Nieuws en sport uit Limburg De bromfietser die vrijdagmiddag zwaargewond raakte bij een ongeval in Heerlen is later die dag aan zijn verwondingen overleden. Dat maakt de politie zaterdag bekend. Het gaat om een 18-jarige jongen uit Amstenrade. Hij knalde vrijdag rond 16:30 uur op de Nicolaas Beetsstraat op een auto. De tiener werd met ernstige verwondingen overgebracht naar het ziekenhuis, waar hij later die avond overleed. De bestuurder van de auto, een 38-jarige man uit Heerlen, raakte ook gewond maar kon na behandeling het ziekenhuis verlaten. De politie onderzoekt wat er precies is gebeurd.",?/?/????
33,Dode en gewonden bij ongeluk in Alphen aan den Rijn - Omroep West,"

								Dode en gewonden bij ongeluk in Alphen aan den Rijn

							 Het busje belandde langs de Kalkovenweg in de struiken. Foto: Media TV 

						Bij een ongeluk met een busje in Alphen aan den Rijn is maandagmiddag een 50-jarige man uit Waddinxveen overleden. Dat gebeurde rond 15.45 uur op de Kalkovenweg, bij het Weteringpark. Ook zijn er twee mensen gewond geraakt.

					 Volgens de politie werd de bestuurder van het busje onwel, waarna hij van de weg raakte. Hij overleed op de plek van het ongeluk. De twee andere inzittenden die gewond raakten zijn in een ambulance nagekeken. 
Het busje is op de zijkant in de struiken terechtgekomen. Meerdere ambulances, de brandweer en een traumahelikopter werden opgeroepen om hulp te verlenen.",14/1/2019
34,Dodelijk verkeersongeval in Puth - 112Vandaag,"Dodelijk verkeersongeval in Puth Dodelijk verkeersongeval in Puth Bij een eenzijdig verkeersongeval op de Maastrichterweg in Puth is donderdagnacht de bestuurder van een personenauto overleden. Rond 04.00 uur raakte de auto door onbekende oorzaak van de weg en kwam tegen een boom tot stilstand.  Omdat de familie van de man vannacht nog in kennis moest worden gesteld, heeft de politie nog geen verdere informatie over het slachtoffer bekend gemaakt. ",14/9/2018
