Titel,Artikel,Datum
Stomdronken scooterrijder gewond na val in Almelo - RTV Oost,"
								Stomdronken scooterrijder gewond na val in Almelo
							 
						Een straalbezopen jongeman is vanavond met zijn scooter onderuit gegaan in Almelo. Dat gebeurde toen hij met zijn voertuig het tunneltje aan de Windmolenbroeksweg in wilde rijden.
					 De politie nam ter plaatse een blaastest af, waarop het meetapparaat een F vertoonde. Dat is de hoogst mogelijke uitslag bij een alcoholtest. Ook is er een speekseltest bij de jongeman afgenomen. Ambulancepersoon heeft de man ter plekke verzorgd aan een hoofdwond. Hij is vervolgens met de ambulance naar het ziekenhuis gebracht. De scooter is door familie opgehaald.",22/4/2019
Op hol geslagen paard beukt fietser omver op kruispunt Warmenhuizen  - NH Nieuws,"Op hol geslagen paard beukt fietser omver op kruispunt Warmenhuizen  - NH Nieuws Op hol geslagen paard beukt fietser omver op kruispunt Warmenhuizen  23 april 2019, 08.52 uur WARMENHUIZEN - Een op hol geslagen paard heeft gisterenmiddag in Warmenhuizen een fietser verwond.  Dat gebeurde op de kruising van de Diepsmeerweg met de Rekeroogweg. Toen de fietser het kruispunt naderde, zag hij vanuit tegengestelde richting een door een paard voortgetrokken wagen naderen.  Eenmaal op het kruispunt schrok het paard van een naderende motor, en begon 'ineens te rennen',   de politie Schagen op Facebook. Het dier draafde op de fietser af en beukte het slachtoffer omver.  Zware verwondingen heeft de fietser niet aan de val overgehouden, al is hij wel ter controle naar het ziekenhuis gebracht. ",?/?/????
Automobilist zwaargewond na botsing tegen boom in Etten-Leur - Omroep Brabant,"
						Een man is zondagmiddag zwaargewond geraakt bij een ongeval op de Zevenbergseweg in Etten-Leur. Hij botste met zijn auto tegen een boom.
					 Na de botsing kwam de auto in een sloot terecht.  De hulpdiensten zijn aanwezig om medische hulp te verlenen. Om de trauma-arts naar de plek van het ongeluk te brengen kwam een traumahelikopter ter plekke. De man is met een ambulance naar het ziekenhuis in Rotterdam gebracht.  Het motorblok van de auto lag enkele meters verder op het fietspad. De oorzaak van het ongeluk is nog onduidelijk. ",21/4/2019
Twee gewonden bij aanrijding in Hardenberg - RTV Oost,"
						Een fietser en een scooterrijdster zijn vanmiddag in Hardenberg tegen elkaar gebotst. Beiden zijn met onbekende verwondingen naar het ziekenhuis gebracht.
					 Het ongeluk gebeurde op de Ommerweg, ter hoogte van camping De Klimberg. De fietser wilde op de weg keren, maar de scooterrijdster zag dat te laat en reed de man van achteren aan. Ze kwam hierdoor allebei ten val.",21/4/2019
Vrouw gewond bij aanrijding in Hengelo - RTV Oost,"
						Een fietsster is vanmiddag in Hengelo gewond geraakt toen zij botste met een auto. De vrouw is met knie- en armletsel naar het ziekenhuis gebracht.
					 De aanrijding was op de Bornsestraat bij IJssalon Van der Poel. De auto kwam uit de Dennenbosweg en zag de vrouw op het fietspad over het hoofd.",21/4/2019
Bromfietser gewond bij ongeluk in Lichtmis - RTV Oost,"
						Bij een aanrijding tussen een brommer en een auto, is vanmiddag in Lichtmis een bromfietser gewond geraakt. De gewonde is met de ambulance naar het ziekenhuis gebracht.
					 Het ongeluk gebeurde op de Lichtmisweg, voor het restaurant De Koperen Hoogte. De brommer reed daar over het fietspad toen de auto vanaf de parkeerplaats van het restaurant kwam. Het is niet bekend wat de oorzaak van de aanrijding is. De brommer is door de val flink beschadigd geraakt.",21/4/2019
Drie gewonden bij ongeluk op Pleijroute bij Arnhem - Omroep Gelderland,"
								Drie gewonden bij ongeluk op Pleijroute bij Arnhem
							 Foto: Timo Bouman/Persbureau Heitink 
						Bij een ongeluk op de Pleijroute bij Arnhem zijn 's avonds op eerste paasdag drie gewonden gevallen.
					 Een auto reed bij de afslag Huissen tegen de vangrail aan de rechterkant. Daarna botste de wagen tegen de vangrail aan de linkerkant en schoot toen weer terug naar de rechterkant. De gewonden zijn met twee ambulances naar het Rijnstate-ziekenhuis gebracht.",22/4/2019
Parallelbaan A16 eventjes dicht na ongeluk - RTV Rijnmond,"
						De parallelbaan van de A16 richting Breda is ter hoogte van de Van Brienenoordbrug zondag enige tijd afgesloten geweest na een ongeluk. Een traumahelikopter kwam ter plaatse om hulp te verlenen.
					 Het ongeluk gebeurde iets na 17:00 uur vlak voor de brug. Volgens Rijkswaterstaat was er zeker één motorrijder bij betrokken. Hoe het met die bestuurder gaat, is niet bekend.  De parallelbaan in de A16 richting Breda werd rond 18.00 uur weer vrijgegeven.",21/4/2019
Ernstig gewonde bij ongeluk in Den Bosch en de dader rijdt door - Omroep Brabant,"
								Ernstig gewonde bij ongeluk in Den Bosch en de dader rijdt door
							 Een bestuurder reed door in Den Bosch na een aanrijding waarbij het slachtoffer zwaargewond werd achtergelaten. (Foto: Politie) 
						Een bestuurder op een scooter heeft zondagmiddag een voetganger aangereden in de Visstraat in Den Bosch en is daarna doorgereden. Het slachtoffer, een jongen van 15 uit Vught, stak over toen de scooter in volle vaart tegen hem botste. Door de aanrijding vloog het slachtoffer meters door de lucht en raakte ernstig gewond. Dat meldt de politie dinsdag op Instagram.
					 Ook de bestuurder van de scooter was hard gevallen. Deze bestuurder werd door een automobilist zijn auto in geholpen en verdween. Politie onderzoekt de scooter op sporen. Er zat geen kentekenplaat op. De politie bekijkt ook de beelden die door beveiligingscamera's zijn gemaakt. Het ongeluk gebeurde zondagmiddag rond half drie. De Visstraat ligt in het centrum van Den Bosch en veel mensen waren getuigen. Er zijn ook foto's en filmpjes gemaakt. De politie is op zoek naar deze getuigen omdat de bestuurder nog niet gevonden is.",23/4/2019
Fietser gewond bij botsing met auto Arnemuiden - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,"Fietser gewond bij botsing met auto Arnemuiden - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland Fietser gewond bij botsing met auto Arnemuiden De fietser bleek na onderzoek niet mee te hoeven naar het ziekenhuis. Roland de Jong / Provicom ARNEMUIDEN - Op de Muidenweg tussen Arnemuiden en Wolphaartsdijk is vanmiddag een fietser gewond geraakt bij een ongeluk. Een automobilist zag rond 16.00 uur ter hoogte van Kanoa Outdoor & Events bij Haven De Piet een wielrenner over het hoofd die over het (brom)fietspad reed. Een botsing was het gevolg en de fietser liep letsel op. Er werd een ambulanceteam gewaarschuwd maar na onderzoek bleek de fietser niet mee te hoeven naar het ziekenhuis. De man is vervolgens in een auto naar huis gebracht. Aan Misschien-Misschien.
Houd u het maar lekker bij de statistieken.Met statistieken krijg je NIET minder aan -rijdingen.Dat is de kwestie.Dat u zoooo schrijft zegt iets over uw persoon.
Ik ben 73 jaar en fiets nog door heel Nederland.U ook???
Aan Nee-Nee .
Met u ben ik het volkomen eens.
Maar er word gewoon niet genoeg gehandhaafd. Voor ja-ja en nee-nee, ooit wel eens naar de verkeers statistieken gekeken voor Nederland. Ik kan u vertellen die zijn top! En als u zoooo ontzettend bang bent, zoals u beweert. Dan gaat u toch niet meer fietsen? Voor ja-ja
Heeft u tegenwoordig de jeugd wel eens zien fietsen bezig met alles behalve het verkeer 
Telefoon, muziek, met 4 man naast elkaar want ze weten dat ze de zogenaamde zwakke partij zijn dus voorrang geven is er tegenwoordig niet meer bij en als automobilist ben je dan weer de gebeten hond 
En onze vrienden de wielrenners denken dat ze de koning van de weg zijn die zouden zoiezo niet op het fietspad mogen komen die moeten ze gewoon alleen toestaan op een wielrenbaan Kan ik nog wel veilig gaan fietsen?
Ik kijk rechts en links.
Kijk achterom en steek dan pas mijn hand uit.
Rijd alleen waar het mag
Geen Telefoneer en muziek onder het fietsen.
Maar er moet meer aandacht komen voor de kwetsbare fietser
Er worden  beangstigend veel fietsers aangereden.Zie de media.
Automobilisten geven natuurlijk de fietser de schuld .En soms heeft de fietser niet goed uitgekeken en gedacht het kan wel.Of telefoon /muziek aan de oren.
Zelf ben ik ook automobilist  en ziet dat ook.
Maar er moet beter samengewerkt worden in het verkeer.
Dus rijscholen en ouders/opvoeders dit is een taak voor u.
Verkeersles  op school is een moment opnamen en als automobilisten een rijbewijs hebben vergeten ze de echte regels in verkeer.",?/?/????
Wielrenner gewond bij val in Oud-Vossemeer - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,Wielrenner gewond bij val in Oud-Vossemeer - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland Wielrenner gewond bij val in Oud-Vossemeer Het slachtoffer kwam ten val bij een wegversmalling. OUD-VOSSEMEER - Een wielrenner is zaterdagmorgen gewond geraakt toen hij ten val kwam in Oud-Vossemeer. Het eenzijdige ongeluk gebeurde rond 11.50 uur bij de wegversmalling aan de Onder de Molen. De wielrenner moest door de ambulancedienst worden behandeld. Het is niet bekend of hij meemoest naar het ziekenhuis. De weg was tijdens de hulpverlening enige tijd afgesloten.,?/?/????
Schade bij botsing op N59 Kerkwerve - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,Schade bij botsing op N59 Kerkwerve - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland Schade bij botsing op N59 Kerkwerve Bij het ongeluk bleek niemand gewond te zijn geraakt. Twitter / @WIS_Jeroen KERKWERVE - Bij een aanrijding op de N59 ter hoogte van Moriaanshoofd bij Kerkwerve zijn vanochtend twee auto's beschadigd geraakt. De bestuurder van een bestelbus reed rond 08.55 uur achterop een Duitse personenauto. Er bleek niemand gewond te zijn geraakt maar er was wel veel blikschade. Bergingsbedrijf Ista uit Oosterland heeft de beide voertuigen getakeld. Volgens Rijkswaterstaat was er geen hinder voor het overige verkeer op de N59.,?/?/????
Motorrijder gewond na ongeluk met gloednieuwe motor in Duivendrecht - NH Nieuws,"Motorrijder gewond na ongeluk met gloednieuwe motor in Duivendrecht - NH Nieuws Motorrijder gewond na ongeluk met gloednieuwe motor in Duivendrecht 20 april 2019, 19.22 uur Inter Visual Studio / Rowin van Diest DUIVENDRECHT - Een man is met zijn splinternieuwe motor in botsing gekomen met een auto op de Holterbergweg in Duivendrecht. Hierbij is de motorrijder gewond geraakt. De betaling was nog maar net rond en de motor stond pas net één uur op de naam van de motorrijder toen het voertuig total loss werd verklaard.  Hoe het ongeluk tussen de motorrijder en de automobilist heeft kunnen gebeuren wordt nu uitgezocht door de politie. Hulpdiensten zijn ter plaatse. De man is met flinke verwondingen naar het AMC gebracht. ",?/?/????
Fietser Enschede knalt al bellend tegen scootmobiel en raakt gewond - RTV Oost,"
								Fietser Enschede knalt al bellend tegen scootmobiel en raakt gewond
							 
						Een fietser is vanmiddag op de Hengelosestraat in Enschede gewond geraakt nadat hij al bellend met hoge snelheid achterop een scootmobiel botste. De man op de fiets viel hard en is naar het ziekenhuis gebracht voor verder onderzoek.
					 Het ongeluk gebeurde ter hoogte van het Meubelplein. De man op de scootmobiel heeft ook een tik gehad, maar kon later gewoon doorrijden. ",20/4/2019
Scooterrijder gewond bij aanrijding Enschede - RTV Oost,"
						Bij een aanrijding met een auto is een scooterrijder vanmiddag op de Hulsmaatstraat in Enschede gewond geraakt. De auto kwam vanuit een uitrit en zag de man over het hoofd. De scooterrijder kwam met zijn hoofd op de straat terecht en is overgebracht naar het ziekenhuis.
					 Beide voertuigen liepen flinke schade op. Het is nog niet duidelijk hoe het met de man gaat. De politie doet onderzoek. ",20/4/2019
Auto schiet door hek bij de N200 in Halfweg - Haarlems Dagblad,"Auto schiet door hek bij de N200 in Halfweg Een automobilist is zaterdagavond op de N200 in Halfweg dwars door een hek geschoten. Nadat hij door het hek reed is hij uiteindelijk door een pilaar tot stilstand gekomen. Niemand raakte gewond, maar de schade aan de auto is groot. De rechter rijbaan van de N200 is afgesloten. Een aantal maanden terug ging het op vrijwel hetzelfde punt ook mis. Toen reed een pick-up truck tegen een hek en kwam tot stilstand tegen een boom.",20/04/2019
Meisje overlijdt na aanrijding in Nieuw-Lekkerland - RTV Rijnmond,"Foto: Alblasserdamsnieuws.nl / Peter Stam 
						Een 17-jarig meisje uit Nieuw-Lekkerland is in de nacht van zaterdag op zondag om het leven gekomen na een aanrijding. Dat bevestigt de politie. Ze reed rond 23:40 uur op de Lekdijk, toen ze werd aangereden door een voertuig.
					 Hoe het ongeluk heeft kunnen gebeuren, is nog niet duidelijk. Het meisje is nog gereanimeerd, maar hulp mocht niet meer baten. Ze overleed ter plekke aan haar verwondingen. De bestuurder van het voertuig bleef ongedeerd. Deze persoon is meegenomen naar het bureau om zijn rol verder te onderzoeken. De Lekdijk is na het ongeluk nog lange tijd dicht geweest voor het verkeer. ",21/4/2019
Fietser gewond naar ziekenhuis na aanrijding in Hengelo - RTV Oost,"
								Fietser gewond naar ziekenhuis na aanrijding in Hengelo
							 
						Een fietser is vanochtend naar het ziekenhuis gebracht, nadat hij bij een ongeluk in Hengelo gewond was geraakt. De fietser werd door een auto geschept.
					 Dat gebeurde op de kruising van de H. Hartstralaan en de Anna Reynvaanweg. Bij de botsing belandde de fietser op de voorruit van de auto. De automobilist kwam met de schrik vrij. De oorzaak van het ongeluk is nog onbekend en wordt door de politie onderzocht. ",19/4/2019
Auto ziet fietser over het hoofd; fietser gewond afgevoerd naar ziekenhuis – Noordernieuws,".wpb_animate_when_almost_visible { opacity: 1; } Auto ziet fietser over het hoofd; fietser gewond afgevoerd naar ziekenhuis Leek – Op het Industriepark is vrijdagochtend een fietser gewond geraakt na een aanrijding.  De mannelijke fietser, die in aanraking kwam met een auto, is met nekklachten naar een ziekenhuis overgebracht. De politie heeft verklaringen van getuigen genoteerd. De auto zou de fietser – bij het rechts afslaan – over het hoofd hebben gezien. De weg was tijdens het incident afgesloten voor ander verkeer. De auto raakte niet beschadigd bij het ongeval. Deze content is beveiligd!",14/5/2019
Traumaheli landt voor gebotste fietser in Opmeer - Noordhollands Dagblad,"Traumaheli landt voor gebotste fietser in Opmeer Een fietser is vrijdagochtend zwaargewond geraakt bij een botsing op de Pade in Opmeer. Een traumateam kwam per helikopter ter plaatse voor de behandeling van het slachtoffer. De man kwam vanaf de Hogeweg en wilde de Pade oversteken, waar op dat moment een busje met aanhanger reed. Er volgde een botsing waarbij de fietser hard ten val kwam. Het slachtoffer is met spoed naar het ziekenhuis gebracht.",19/04/2019
"Auto op de kop in Assendelft, bestuurder ongedeerd - Noordhollands Dagblad","Auto op de kop in Assendelft, bestuurder ongedeerd Op de Beemsterstraat in Assendelft is vrijdagochtend een auto over de kop geslagen. De bestuurder kwam met de schrik vrij. Het ongeluk gebeurde doordat een andere auto de wagen aan de achterkant aan reed. De aangereden auto kantelde en kwam op het dak terecht. Politie en twee ambulances gingen op het ongeluk af. Ook werd er een traumahelikopter ingezet. De bestuurder bleek na controle in de ambulance geen verwondingen te hebben en hoefde niet mee naar het ziekenhuis. Ook de automobilist in het andere voertuig mankeerde niets. De Beemsterstraat was enige tijd afgesloten voor verkeer. Een berger haalde de auto op. Meer nieuws uit Zaanstreek",19/04/2019
Lange file op A20 na ongeluk met motorrijder - RTV Rijnmond,"
						Weggebruikers op de A20 hebben donderdagochtend te maken met lange vertragingen. Bij knooppunt Terbregseplein is rond 07:30 uur een motorrijder aangereden. Hij raakte gewond aan zijn been. Rond 09:30 uur staat er nog meer dan tien kilometer file.
					 Na de botsing moesten meerdere auto's in de remmen, waardoor het leek alsof er een kettingbotsing was gebeurd. Drie rijstroken in de richting Gouda waren daarom afgesloten ter hoogte van de afslag Ommoord/Capelle. Ook vanaf de A16 kan je niet de A20 richting Gouda op. Inmiddels zijn nog twee rijstroken dicht. Wanneer de weg weer helemaal open kan, is nog niet duidelijk.",18/4/2019
"Auto crasht tegen boom bij Berkhout, brandweer knipt dak eraf - NH Nieuws","Auto crasht tegen boom bij Berkhout, brandweer knipt dak eraf - NH Nieuws Auto crasht tegen boom bij Berkhout, brandweer knipt dak eraf 18 april 2019, 06.27 uur Inter Visual Studio / Lorenzo Derksen BERKHOUT - Een automobilist is iets na middernacht tegen een boom gereden langs de Venneweg in Berkhout. Het slachtoffer, de bestuurder, raakte hierbij bekneld. Na de crash kwam de auto op z'n zijkant terecht in de berm. Brandweerlieden hebben hierna het dak van de auto geknipt, waarna het slachtoffer kon worden gered. Hoe het met de bestuurder gaat, is niet duidelijk. Het slachtoffer is naar het ziekenhuis gebracht. ",?/?/????
Gewonde bij botsing tussen scooterrijder en fietsster in Barneveld | Amersfoort | AD.nl,"Gewonde bij botsing tussen scooterrijder en fietsster in Barneveld 
									Een fietsster en een scooterrijder zijn vanavond gebotst op de Stationsweg in Barneveld. De vrouw op de fiets is gewond geraakt en moest mee naar het ziekenhuis. De bestuurder van de scooter kwam met de schrik vrij. Het ongeluk gebeurde rond 18.45 uur. Dagelijks het nieuws uit de regio in je mailbox? Schrijf je in op de ",19/30/????
Auto en fietser botsen in Zwolle,"Auto en fietser botsen in Zwolle Foto: Jorrit Winters | 112 Overijssel Zwolle – Donderdagavond moesten de hulpdiensten uitrukken voor een ongeval met letsel op de Werkerlaan in de Zwolse wijk Stadshagen.  Ter plaatse bleek bij het winkelcentrum een automobiliste een fietser over het hoofd te hebben gezien met een aanrijding tot gevolg. De fietser raakte bij de aanrijding niet gewond. De auto liep aan de voorzijde lichte schade op. Sponsor van de website Wij gebruiken cookies om content en advertenties te gebruiken, om functies voor social media te bieden en om ons websiteverkeer te analyseren. We delen ook informatie over uw gebruik van onze site met onze partners voor social media, adverteren en analyse.   This website is like a Rocket, isn't it? Performance optimized by WP Rocket. Learn more: https://wp-rocket.me ",?/?/????
Gewonde en verkeershinder door scooterongeluk in centrum Haa... - Haarlems Dagblad,"Gewonde en verkeershinder door scooterongeluk in centrum Haarlem Bij een botsing tussen twee scooters op de kruising van de Turfmarkt met de Gedempte Oude Gracht is donderdagavond een gewonde gevallen. Door het ongeval was de Gedempte Oude Gracht en de Turfmarkt deels afgesloten voor het verkeer. Ook het busverkeer kwam hierdoor tijdelijk stil te liggen. Het slachtoffer, een vrouw, is met een ambulance naar het ziekenhuis gebracht. De andere scooterrijder kon, na behandeling door ambulancepersoneel, zijn weg weer vervolgen. Het mis toen een scooterrijder vanaf de Turfmarkt linksaf de Gedempte Oude Gracht wilde inrijden, maar op hetzelfde moment een scooterrijder vanaf tegengestelde richting de kruising rechtdoor overstak.",18/04/2019
Veel hulpdiensten ingezet na botsing bakwagen en busje in Ho... - Haarlems Dagblad,"Veel hulpdiensten ingezet na botsing bakwagen en busje in Hoofddorp Een bakwagen en een bedrijfsbusje zijn donderdagochtend met elkaar in botsing gekomen op de Kruisweg in Hoofddorp. Na het ongeval zijn veel hulpdiensten ingezet. Over de toedracht van de botsing is niets bekend. De brandweer en ambulancedienst hebben zich over de slachtoffers ontfermd en ook een traumateam is ingezet. Er zijn twee personen gewond geraakt, waarvan één ernstig. Een trauma-arts is met de ambulance met dit slachtoffer, de bestuurder van de bakwagen, meegereden. De Kruisweg is ter hoogte van de beurs afgesloten. De Verkeers Ongevallen Analyse van de politie heeft onderzoek gedaan naar de toedracht.",18/04/2019
