,Titel,Artikel,Datum
12,"Automobilist die fietser doodreed ontoerekeningsvatbaar, maar is hij ook schuldig aan doodslag? - Omroep Brabant","{""@context"":""http://schema.org"",""@type"":""NewsArticle"",""mainEntityOfPage"":{""@type"":""WebPage"",""@id"":""https://www.omroepbrabant.nl/nieuws/2864161/Automobilist-die-fietser-doodreed-ontoerekeningsvatbaar-maar-is-hij-ook-schuldig-aan-doodslag""},""headline"":""Automobilist die fietser doodreed ontoerekeningsvatbaar, maar is hij ook schuldig aan doodslag?"",""image"":{""@type"":""ImageObject"",""url"":""https://img-brabant.rgcdn.nl/5d80919e01ab461695c932207f5be3f8/opener/Foto-Sem-van-Rijssel-SQ-Vision-Mediaprodukties.jpg"",""width"":770,""height"":433},""datePublished"":""2018-10-12T11:11:46.1103202+02:00"",""dateModified"":""2018-10-12T17:14:47.1839498+02:00"",""author"":{""@type"":""Person"",""name"":""Ilse Schoenmakers""},""publisher"":{""@type"":""Organization"",""name"":""Omroep Brabant"",""logo"":{""@type"":""ImageObject"",""url"":""http://www.omroepbrabant.nl/Content/Amp/Images/brabant/logopublisher.png"",""width"":600,""height"":60}},""description"":""Een automobilist reed in april volgens omstanders 'in volle vaart' op een fietsstraat in Eindhoven. Hij raakte daarbij een 77-jarige fietser, die later overleed aan zijn verwondingen. De bestuurder maakte een verwarde indruk en reageerde agressief tegenover hulpdiensten en omstanders. De rechtbank in Den Bosch behandelde deze zaak vrijdag inhoudelijk. Op het moment van de aanrijding waren veel fietsers en voetgangers in de buurt van de Rielsedijk. Een hardlopende mevrouw hoorde een versnellende auto, alsof er gas werd bijgegeven. Zij keek in de richting van het geluid en hoorde een klap. Ze zag de fietser en zijn fiets door de lucht vliegen en hoorde daarna piepende banden. LEES OOK: Man (77) overleden na aanrijding op fietsstraat in Eindhoven De 23-jarige bestuurder van de BMW vertelde de agenten dat hij wiet had gerookt. Bij bloedonderzoek werd zoveel cannabis aangetroffen dat volgens het Nederlands Forensisch Instituut de rijvaardigheid negatief werd be&#239;nvloed.&nbsp; Vertrouwelijke gesprekken Wegens de verwarde toestand van de man, waarschuwde de politie de GGZ. Terwijl de medewerkers met de Eindhovenaar in gesprek gingen, vingen politieagenten het gesprek op. In dat gesprek vertelde de verdachte dat hij een waanbeeld had, dat het slachtoffer zijn nichtje wilde verkrachten. In plaats van rechtsaf te slaan om sigaretten te halen, reed hij rechtdoor achter de fietser aan.&nbsp; Door de vertrouwelijke functie van de medewerkers hadden de politieagenten die uitspraken niet in het proces-verbaal mogen vermelden, volgens advocaat Van der Meijden. Het mag daarom volgens haar ook niet mee worden genomen als bewijs.&nbsp; Psychische problemen De vraag of wat de verdachte verweten wordt kan worden toegerekend, vanwege de psychische toestand van de verdachte, is het grootste discussiepunt in deze rechtszitting.&nbsp; Een psycholoog en psychiater verklaren beiden in hun rapport dat het gedrag van de verdachte volledig werd bepaald door zijn schizofrene stoornis. De psychose overstemde op het moment van de aanrijding, en de bestuurder kon geen onderscheid maken tussen werkelijkheid en parano&#239;de beelden. Volgens de deskundigen is het risico op herhaling groot omdat het ziektebesef ontbreekt. TBS met dwangbehandeling is volgens hen de beste optie.&nbsp; Psychisch ziekenhuis Volgens advocaat Van der Meijden hadden de agenten aan moeten geven dat zij meeluisterden. Als zij het gesprek niet in het proces-verbaal op hadden genomen, was de bestuurder enkel verdacht voor het overtreden van de wegen en verkeerswet, en niet voor doodslag. Ze is teleurgesteld in het aanvullend onderzoek van de psycholoog en psychiater, en stelt dat het beter met de verdachte gaat sinds hij medicatie slikt. De verdediging staat niet achter TBS met dwangbehandeling, maar wel achter de opname in een psychisch ziekenhuis. Ze benadrukt daarbij dat haar cli&#235;nt nooit eerder in aanraking is geweest met justitie.&nbsp; Genoeg bewijs Officier van justitie Revis blijft bij zijn standpunt dat de uitspraken van de verdachte tegen de medewerkers van de GGZ in het proces-verbaal thuishoren. Een politieagent is volgens hem altijd in functie, en heeft dus de plicht om het op te schrijven in het proces-verbaal.&nbsp; Volgens hem is er genoeg bewijs dat de bestuurder met opzet de fietser heeft overreden. Wat wettelijk en overtuigend bewijs is voor doodslag. Hij gaf aan onder de indruk te zijn op te manier waarop de nabestaanden omgingen met het verlies van hun man en vader: &quot;Er is begrip voor de ontoerekeningsvatbaarheid, voor geen straf. Maar dit moet niet nog eens kunnen gebeuren.&quot;&nbsp; Spijt De verdachte gaf geen antwoord op vragen van de voorzitter en beriep zich telkens op zijn zwijgrecht. Volgens zijn advocaat heeft dat een reden: &quot;Hij doet dat niet door onwil, maar uit onmacht door zijn psychische gesteldheid&quot;. De Eindhovenaar sprak aan het einde van de zitting wel een kort slotwoord waarin hij zijn medeleven betuigde: &quot;Ik realiseer me dat ik deze medicijnen moet blijven gebruiken en dat ik deze behandeling nodig heb. Ik wens de nabestaanden veel sterkte.&quot;&nbsp; De rechtbank doet 26 oktober uitspraak. &nbsp;""} 
								Automobilist die fietser doodreed ontoerekeningsvatbaar, maar is hij ook schuldig aan doodslag?
							 Foto: Sem van Rijssel/SQ Vision Mediaprodukties 
						Een automobilist reed in april volgens omstanders 'in volle vaart' op een fietsstraat in Eindhoven. Hij raakte daarbij een 77-jarige fietser, die later overleed aan zijn verwondingen. De bestuurder maakte een verwarde indruk en reageerde agressief tegenover hulpdiensten en omstanders. De rechtbank in Den Bosch behandelde deze zaak vrijdag inhoudelijk.
					 Op het moment van de aanrijding waren veel fietsers en voetgangers in de buurt van de Rielsedijk. Een hardlopende mevrouw hoorde een versnellende auto, alsof er gas werd bijgegeven. Zij keek in de richting van het geluid en hoorde een klap. Ze zag de fietser en zijn fiets door de lucht vliegen en hoorde daarna piepende banden. De 23-jarige bestuurder van de BMW vertelde de agenten dat hij wiet had gerookt. Bij bloedonderzoek werd zoveel cannabis aangetroffen dat volgens het Nederlands Forensisch Instituut de rijvaardigheid negatief werd beïnvloed.  Vertrouwelijke gesprekken  Wegens de verwarde toestand van de man, waarschuwde de politie de GGZ. Terwijl de medewerkers met de Eindhovenaar in gesprek gingen, vingen politieagenten het gesprek op. In dat gesprek vertelde de verdachte dat hij een waanbeeld had, dat het slachtoffer zijn nichtje wilde verkrachten. In plaats van rechtsaf te slaan om sigaretten te halen, reed hij rechtdoor achter de fietser aan.  Door de vertrouwelijke functie van de medewerkers hadden de politieagenten die uitspraken niet in het proces-verbaal mogen vermelden, volgens advocaat Van der Meijden. Het mag daarom volgens haar ook niet mee worden genomen als bewijs.   De vraag of wat de verdachte verweten wordt kan worden toegerekend, vanwege de psychische toestand van de verdachte, is het grootste discussiepunt in deze rechtszitting.  Een psycholoog en psychiater verklaren beiden in hun rapport dat het gedrag van de verdachte volledig werd bepaald door zijn schizofrene stoornis. De psychose overstemde op het moment van de aanrijding, en de bestuurder kon geen onderscheid maken tussen werkelijkheid en paranoïde beelden. Volgens de deskundigen is het risico op herhaling groot omdat het ziektebesef ontbreekt. TBS met dwangbehandeling is volgens hen de beste optie.   Volgens advocaat Van der Meijden hadden de agenten aan moeten geven dat zij meeluisterden. Als zij het gesprek niet in het proces-verbaal op hadden genomen, was de bestuurder enkel verdacht voor het overtreden van de wegen en verkeerswet, en niet voor doodslag. Ze is teleurgesteld in het aanvullend onderzoek van de psycholoog en psychiater, en stelt dat het beter met de verdachte gaat sinds hij medicatie slikt. De verdediging staat niet achter TBS met dwangbehandeling, maar wel achter de opname in een psychisch ziekenhuis. Ze benadrukt daarbij dat haar cliënt nooit eerder in aanraking is geweest met justitie.   Officier van justitie Revis blijft bij zijn standpunt dat de uitspraken van de verdachte tegen de medewerkers van de GGZ in het proces-verbaal thuishoren. Een politieagent is volgens hem altijd in functie, en heeft dus de plicht om het op te schrijven in het proces-verbaal.  Volgens hem is er genoeg bewijs dat de bestuurder met opzet de fietser heeft overreden. Wat wettelijk en overtuigend bewijs is voor doodslag. Hij gaf aan onder de indruk te zijn op te manier waarop de nabestaanden omgingen met het verlies van hun man en vader: ""Er is begrip voor de ontoerekeningsvatbaarheid, voor geen straf. Maar dit moet niet nog eens kunnen gebeuren.""  De verdachte gaf geen antwoord op vragen van de voorzitter en beriep zich telkens op zijn zwijgrecht. Volgens zijn advocaat heeft dat een reden: ""Hij doet dat niet door onwil, maar uit onmacht door zijn psychische gesteldheid"". De Eindhovenaar sprak aan het einde van de zitting wel een kort slotwoord waarin hij zijn medeleven betuigde: ""Ik realiseer me dat ik deze medicijnen moet blijven gebruiken en dat ik deze behandeling nodig heb. Ik wens de nabestaanden veel sterkte.""  De rechtbank doet 26 oktober uitspraak.",12/10/2018
13,"Jonge man en vrouw overleden bij aanrijding in Goes, automobilist aangehouden - Omroep Zeeland","{""@context"":""http://schema.org"",""@type"":""NewsArticle"",""mainEntityOfPage"":{""@type"":""WebPage"",""@id"":""https://www.omroepzeeland.nl/nieuws/109054/Jonge-man-en-vrouw-overleden-bij-aanrijding-in-Goes-automobilist-aangehouden""},""headline"":""Jonge man en vrouw overleden bij aanrijding in Goes, automobilist aangehouden"",""image"":{""@type"":""ImageObject"",""url"":""https://imgz.rgcdn.nl/a8fde6e75e464d9cad0737cc411fb893/opener/De-auto-raakte-zwaar-beschadigd-bij-het-ongeluk-dat-de-levens-van-een-jonge-man-en-vrouw-eiste-foto-HV-Zeeland.jpg"",""width"":770,""height"":433},""datePublished"":""2018-10-28T06:20:30.1431689+01:00"",""dateModified"":""2018-10-29T06:34:40.6884118+01:00"",""author"":{""@type"":""Organization"",""name"":""Omroep Zeeland""},""publisher"":{""@type"":""Organization"",""name"":""Omroep Zeeland"",""logo"":{""@type"":""ImageObject"",""url"":""http://www.omroepzeeland.nl/Content/Amp/Images/zeeland/logopublisher.png"",""width"":600,""height"":60}},""description"":""In Goes zijn vannacht een jonge man en vrouw bij een aanrijding om het leven gekomen. Ze zaten samen op één fiets toen ze door een auto werden geschept. Ze kwamen meters verderop op het wegdek terecht. De 19-jarige bestuurder is aangehouden, hij had te veel gedronken. Het ongeluk gebeurde rond 04.20 uur bij de spoorwegovergang 'Ockenburg' op de kruising Van De Spiegelstraat met de Kloetingseweg. De fiets waar ze op zaten, werd door de klap tegen een lantaarnpaal aan geslingerd. Er werden nog ambulanceteams en een traumahelikopter opgeroepen maar de hulp mocht niet meer baten. De man en vrouw overleden ter plekke.Auto zwaar beschadigdDe automobilist, een 19-jarige man uit Kloetinge, is na het ongeluk nog zo'n 450 meter doorgereden met zijn zwaar beschadigde auto. Hij is uiteindelijk gestopt op de Patijnweg, vlakbij de nieuwe rotonde op het Kazerneplein.De 19-jarige bestuurder is aangehouden en overgebracht naar een politiecellencomplex voor verhoor. Daar bleek uit een ademanalyse dat hij te veel had gedronken. Hij heeft een verklaring afgelegd en blijft vastzitten. Zijn rijbewijs is ingenomen.'Twee jonge levens'Behalve dat het om een man en een vrouw gaat, was de identiteit van de twee slachtoffers bij de politie nog urenlang onbekend. Wel schreven de Goese wijkagenten op Instagram dat het ongeluk 'twee jonge levens' heeft ge&#235;ist.Omwille van het sporenonderzoek werden hun kleren ter plaatse nog niet grondig doorzocht. Dat gebeurde pas toen de lichamen met een lijkenwagen naar het mortuarium waren gebracht.Identiteit achterhaaldDe politie maakte iets voor 13.00 uur bekend dat de 'vermoedelijke identiteit' van zowel de man als de vrouw is achterhaald. Daar worden echter nog geen uitspraken over gedaan tot de familie van hun overlijden op de hoogte is gebracht.Vanwege het onderzoek van het team Verkeersongevallenanalyse was de weg urenlang afgesloten tussen de Van De Spiegelstraat en de rotonde op de kruising van de Oranjeweg met de Patijnweg. Het sporenonderzoek was rond 09.45 uur afgerond. Daarna heeft de gemeente Goes het wegdek gereinigd en kon de weg weer worden vrijgegeven.GetuigenNa het dodelijk ongeval hebben meerdere getuigen zich gemeld bij de politie. Voor hen is slachtofferhulp ingeschakeld. De politie roept iedereen die meer weet over dit ongeluk op om contact op te nemen.Razendsnel toegang tot het laatste Zeeuwse nieuws, het weer, sport en live radio en tv? Download de Omroep Zeeland app voor Android of iPhone/iPad.""} 
								Jonge man en vrouw overleden bij aanrijding in Goes, automobilist aangehouden
							 
						In Goes zijn vannacht een jonge man en vrouw bij een aanrijding om het leven gekomen. Ze zaten samen op één fiets toen ze door een auto werden geschept. Ze kwamen meters verderop op het wegdek terecht. De 19-jarige bestuurder is aangehouden, hij had te veel gedronken.
					 Het ongeluk gebeurde rond 04.20 uur bij de spoorwegovergang 'Ockenburg' op de kruising Van De Spiegelstraat met de Kloetingseweg. De fiets waar ze op zaten, werd door de klap tegen een lantaarnpaal aan geslingerd. Er werden nog ambulanceteams en een traumahelikopter opgeroepen maar de hulp mocht niet meer baten. De man en vrouw overleden ter plekke. Auto zwaar beschadigd De automobilist, een 19-jarige man uit Kloetinge, is na het ongeluk nog zo'n 450 meter doorgereden met zijn zwaar beschadigde auto. Hij is uiteindelijk gestopt op de Patijnweg, vlakbij de nieuwe rotonde op het Kazerneplein. De auto raakte zwaar beschadigd bij het ongeluk dat de levens van een jonge man en vrouw eiste (foto: HV Zeeland) De 19-jarige bestuurder is aangehouden en overgebracht naar een politiecellencomplex voor verhoor. Daar bleek uit een ademanalyse dat hij te veel had gedronken. Hij heeft een verklaring afgelegd en blijft vastzitten. Zijn rijbewijs is ingenomen. Behalve dat het om een man en een vrouw gaat, was de identiteit van de twee slachtoffers bij de politie nog urenlang onbekend. Wel schreven de Goese wijkagenten op  dat het ongeluk 'twee jonge levens' heeft geëist. Omwille van het sporenonderzoek werden hun kleren ter plaatse nog niet grondig doorzocht. Dat gebeurde pas toen de lichamen met een lijkenwagen naar het mortuarium waren gebracht. Identiteit achterhaald De politie maakte iets voor 13.00 uur bekend dat de 'vermoedelijke identiteit' van zowel de man als de vrouw is achterhaald. Daar worden echter nog geen uitspraken over gedaan tot de familie van hun overlijden op de hoogte is gebracht. Vanwege het onderzoek van het team Verkeersongevallenanalyse was de weg urenlang afgesloten tussen de Van De Spiegelstraat en de rotonde op de kruising van de Oranjeweg met de Patijnweg. Het sporenonderzoek was rond 09.45 uur afgerond. Daarna heeft de gemeente Goes het wegdek gereinigd en kon de weg weer worden vrijgegeven. Na het dodelijk ongeval hebben meerdere getuigen zich gemeld bij de politie. Voor hen is slachtofferhulp ingeschakeld. De politie roept iedereen die meer weet over dit ongeluk op om contact op te nemen. Razendsnel toegang tot het laatste Zeeuwse nieuws, het weer, sport en live radio en tv? Download de ",28/10/2018
14,Meisje (17) dat zwaargewond werd achtergelaten na ongeluk is overleden - Omroep Brabant,"{""@context"":""http://schema.org"",""@type"":""NewsArticle"",""mainEntityOfPage"":{""@type"":""WebPage"",""@id"":""https://www.omroepbrabant.nl/nieuws/2895188/Meisje-17-dat-zwaargewond-werd-achtergelaten-na-ongeluk-is-overleden""},""headline"":""Meisje (17) dat zwaargewond werd achtergelaten na ongeluk is overleden"",""image"":{""@type"":""ImageObject"",""url"":""https://img-brabant.rgcdn.nl/8ca0fc82599b47e4b1a03c2c2d54e195/opener/De-politie-doet-onderzoek-Foto-Bart-Meesters.jpg"",""width"":770,""height"":433},""datePublished"":""2018-12-03T10:10:18.4087531+01:00"",""dateModified"":""2018-12-03T15:20:17.6450514+01:00"",""author"":{""@type"":""Person"",""name"":""Sandra Kagie""},""publisher"":{""@type"":""Organization"",""name"":""Omroep Brabant"",""logo"":{""@type"":""ImageObject"",""url"":""http://www.omroepbrabant.nl/Content/Amp/Images/brabant/logopublisher.png"",""width"":600,""height"":60}},""description"":""Het meisje van 17 uit Rosmalen dat zaterdagnacht werd aangereden door een auto in Den Bosch, is zondagnacht in het ziekenhuis overleden. Dit laat de politie maandagochtend weten. Het meisje werd aangereden op De Harendonkweg. De automobilist reed na het ongeluk door. Het meisje zat op het Rodenborch-College in Rosmalen. Op de school heerst 'diepe rouw', laat rector Marjo van IJzendoorn weten. De verslagenheid op de school is volgens de rector 'onbeschrijflijk groot'. Alles wordt volgens haar in het werk gesteld om leerlingen zo goed mogelijk op te vangen. &quot;Daarbij gaan onze gedachten natuurlijk vooral uit naar de nabestaanden.&quot; &nbsp;&nbsp;&nbsp; Verdachte had bij aanhouding gedronken Zondag werd een 37-jarige man uit Den Bosch aangehouden. Hij is de eigenaar van de auto, een donkere Volkswagen Golf, die bij het ongeluk betrokken was. Volgens de politie bleek bij zijn aanhouding dat hij had gedronken. De politie gaat ervan uit dat hij de auto bestuurde. Of hij op het moment van het ongeluk had gedronken, kan de politie nog niet zeggen. Er is bloed afgenomen om dit te onderzoeken. In de auto van de man werd ook een kleine hoeveelheid wiet gevonden. De verdachte zit nog vast. Geschept bij het oversteken Het meisje stak rond kwart voor vier zondagochtend vroeg De Harendonkweg over toen ze werd geschept door de auto. Terwijl getuigen zich over haar ontfermden, ging de bestuurder van de auto er met hoge snelheid vandoor in de richting van de Sint Teunislaan. Het slachtoffer was buiten kennis en werd in zeer zorgwekkende toestand opgenomen in het ziekenhuis. Daar is ze in de nacht van zondag op maandag overleden.  De verdachte werd aangehouden toen agenten hem zagen rijden op de Slagendreef. Hij reed in een donkere Golf met een beschadigde zijspiegel. Het rijbewijs van de man werd ingenomen.&nbsp; De precieze toedracht van het ongeluk wordt door de politie nog onderzocht. Zondag werd op de plek van het ongeluk al uitgebreid onderzoek gedaan. Ook is de auto van de verdachte in beslag genomen. Camerabeelden uit de omgeving worden bekeken en de politie spreekt met getuigen.""} 
						Het meisje van 17 uit Rosmalen dat zaterdagnacht werd aangereden door een auto in Den Bosch, is zondagnacht in het ziekenhuis overleden. Dit laat de politie maandagochtend weten. Het meisje werd aangereden op De Harendonkweg. De automobilist reed na het ongeluk door. Het meisje zat op het Rodenborch-College in Rosmalen. Op de school heerst 'diepe rouw', laat rector Marjo van IJzendoorn weten.
					 De verslagenheid op de school is volgens de rector 'onbeschrijflijk groot'. Alles wordt volgens haar in het werk gesteld om leerlingen zo goed mogelijk op te vangen. ""Daarbij gaan onze gedachten natuurlijk vooral uit naar de nabestaanden.""     Verdachte had bij aanhouding gedronken  Zondag werd een 37-jarige man uit Den Bosch  . Hij is de eigenaar van de auto, een donkere Volkswagen Golf, die bij het ongeluk betrokken was. Volgens de politie bleek bij zijn aanhouding dat hij had gedronken. De politie gaat ervan uit dat hij de auto bestuurde. Of hij op het moment van het ongeluk had gedronken, kan de politie nog niet zeggen. Er is bloed afgenomen om dit te onderzoeken. In de auto van de man werd ook een kleine hoeveelheid wiet gevonden. De verdachte zit nog vast. Geschept bij het oversteken  Het meisje stak rond kwart voor vier zondagochtend vroeg De Harendonkweg over toen ze werd geschept door de auto. Terwijl getuigen zich over haar ontfermden, ging de bestuurder van de auto er met hoge snelheid vandoor in de richting van de Sint Teunislaan. Het slachtoffer was buiten kennis en werd in zeer zorgwekkende toestand opgenomen in het ziekenhuis. Daar is ze in de nacht van zondag op maandag overleden. De verdachte werd aangehouden toen agenten hem zagen rijden op de Slagendreef. Hij reed in een donkere Golf met een beschadigde zijspiegel. Het rijbewijs van de man werd ingenomen.  De precieze toedracht van het ongeluk wordt door de politie nog onderzocht. Zondag werd op de plek van het ongeluk al uitgebreid onderzoek gedaan. Ook is de auto van de verdachte in beslag genomen. Camerabeelden uit de omgeving worden bekeken en de politie spreekt met getuigen.",3/12/2018
15,"64-jarige man verongelukt na aanrijding met auto in Breda, bestuurder wordt verhoord - Omroep Brabant","
								64-jarige man verongelukt na aanrijding met auto in Breda, bestuurder wordt verhoord
							 
						Bij een ongeluk in Breda is dinsdagmorgen vroeg een 64-jarige Bredanaar omgekomen. Dit gebeurde rond kwart voor zes op het kruispunt van de Zwijnsbergenstraat en de Loevesteinstraat. De man kwam terwijl hij fietsend de kruising overstak in aanrijding met een auto, bestuurd door een 31-jarige man uit Bavel. Op de kruising staan verkeerslichten.
					 De automobilist wilde vermoedelijk zijn weg vervolgen in de richting van het centrum over de Claudius Prinsenlaan.  De fietser reed over de Zwijnsbergenstraat en wilde vermoedelijk links af slaan, ook richting centrum.    De bestuurder van de auto wordt op het politiebureau verhoord. De politie doet onderzoek.",30/10/2018
16,Automobilist rijdt door na aanrijding en laat gewonde fietser achter - Omroep Gelderland,"
							Automobilist rijdt door na aanrijding en laat gewonde fietser achter
						 Foto: News United / Damian Ruitenga 
					Een automobilist is donderdagavond doorgereden na een ongeval met een fietser in Putten. Het slachtoffer raakte gewond en is naar het ziekenhuis gebracht.
				 De fietser werd aangereden op de rotonde aan de Stationsstraat. Het slachtoffer werd door een afslaande auto geschept. De automobilist is direct na de aanrijding doorgereden en heeft zich niet om de fietser bekommerd. Het slachtoffer is met onbekende verwondingen naar het ziekenhuis gebracht. Over de doorgereden auto is vooralsnog niets bekend. Heb jij een tip of opmerking? Stuur ons een bericht op  Wij willen graag weten in welke omgeving u woont, zodat we u meer nieuws uit uw eigen regio kunnen aanbieden. Daarom willen we graag uw locatie weten als u de website van Omroep Gelderland bezoekt. De gegevens over uw woonplaats of andere data worden anoniem verzameld en nooit gedeeld met anderen.",13/12/2018
17,Fietser en scooterrijder gewond naar het ziekenhuis na ongeluk in Enschede - RTV Oost,"
								Fietser en scooterrijder gewond naar het ziekenhuis na ongeluk in Enschede
							 
						Een fietser en scooterrijder zijn vanmiddag in Enschede gewond geraakt bij een aanrijding. De fietser is naar het ziekenhuis gebracht.
					 De twee botsten op de Getfertsingel tegen elkaar. De politie heeft de kruising van de Getfertsingel met de Broekheurnerweg afgezet en doet onderzoek. Heb je een nieuwstip of nieuwe informatie? Stuur ons direct een WhatsApp-bericht: ",17/1/2019
18,Fietser gewond na aanrijding met auto in Hengelo - RTV Oost,"
								Fietser gewond na aanrijding met auto in Hengelo
							 
						Een fietser is vanmiddag gewond geraakt bij een aanrijding met een auto. De gewonde is per ambulance naar het ziekenhuis gebracht.
					 Het ongeluk gebeurde op de Laan van Driene. Daar wilde een fietser de weg oversteken toen hij in aanrijding met de wagen kwam. De auto heeft een gebarsten voorruit aan het ongeluk overgehouden. De politie onderzoekt het ongeval, de weg is daarom deels afgezet. Heb je een nieuwstip of nieuwe informatie? Tip de redactie via een WhatsApp-bericht: ",9/2/2019
19,Automobilist rijdt door na aanrijding met fietser in Gorinchem - ZHZActueel," This site is optimized with the Yoast SEO plugin v9.1 - https://yoast.com/wordpress/plugins/seo/   Twitter Cards Meta By WPDeveloper.net   END GADWP Universal Analytics  
		Automobilist rijdt door na aanrijding met fietser in Gorinchem		 GORINCHEM – Op rotonde Eike’s Hof voor het politiebureau in Gorinchem is maandagavond 12 november 2018 een auto in botsing gekomen met een fietser. Omstreeks 17.30 uur ging het mis bij de afslag naar de Willem de Vries Robbeweg. De automobilist reed na het ongeval door. ser reed vanuit de richting Gorinchem-Oost over de rotonde en wilde rechtdoor gaan in de richting van het station. Het 32-jarige slachtoffer kreeg echter geen voorrang van de bestuurder in een lichtblauwe Toyota Yaris. Hierdoor kwam het slachtoffer ten val. De fietser is met lichte verwondingen naar het ziekenhuis gebracht. De politie komt graag in contact met getuigen die meer hebben gezien tijdens het ongeval, of de auto gespot hebben na gisteravond. Heeft u iets gezien of gehoord? Neem dan contact op via 0900-8844 of Meld Misdaad Anoniem via 0800-7000 of  Dit kan u ook interesseren Zoeken op deze website ZHZ Actueel is de website met het 112-nieuws uit de regio Zuid-Holland Zuid. Wij plaatsen het nieuws uit Dordrecht, de Zwijndrechtse Waard, de Alblasserwaard, de Vijfheerenlanden en de Hoeksche Waard. 
Contact opnemen? Stuur een mail naar  . Nieuwstip? Bel, sms of WhatsApp dan naar onze tiplijn:   actief. Ook maken we gebruik van  ZHZ Actueel is de website met het 112-nieuws uit de regio Zuid-Holland Zuid. Wij plaatsen het nieuws uit Dordrecht, de Zwijndrechtse Waard, de Alblasserwaard, de Vijfheerenlanden en de Hoeksche Waard. Contact opnemen? Stuur een mail naar  . Nieuwstip? Bel, sms of WhatsApp dan naar onze tiplijn:   actief. Ook maken we gebruik van  We gebruiken cookies en delen informatie over uw gebruik van onze site met onze partners om ons websiteverkeer te analyseren, om functies voor social media te bieden en om advertenties weer te geven. ",12/11/2018
20,Automobilist schept fietser op N813 in Didam - Omroep Gelderland,"Foto: Wilco Janssen/Persbureau Heitink Het ongeluk gebeurde rond 12.45 uur. De fietser was de weg aan het oversteken toen die geraakt werd door een auto. Volgens een videocorrespondent raakte de fietser daarbij ernstig gewond. Het is onduidelijk of het gaat om een man of een vrouw. Een traumahelikopter was ter plaatse voor medische assistentie. Heeft u opmerkingen of aanvullingen op dit bericht? Mail dan met de redactie:  Wij willen graag weten in welke omgeving u woont, zodat we u meer nieuws uit uw eigen regio kunnen aanbieden. Daarom willen we graag uw locatie weten als u de website van Omroep Gelderland bezoekt. De gegevens over uw woonplaats of andere data worden anoniem verzameld en nooit gedeeld met anderen.",4/7/2018
21,Fietser raakt gewond bij aanrijding Wageningen | Hoog en Laag,"
    Fietser raakt gewond bij aanrijding Wageningen  Only functional/visible if visitor accepts 'social' cookie    Een fietser is dinsdag eind van de middag gewond geraakt na een aanrijding met een auto. Vermoedelijk gaat het om een kind. Een traumahelikopter kwam ter plaatse. Het ongeluk gebeurde rond 17.30 uur op de Ritzema Bosweg, de parallelweg van de N225. De fietser kwam daar met een automobilist is botsing. De fiets is door de klap door tweeën. Het slachtoffer is per ambulance met spoed naar het ziekenhuis gebracht. De politie ongevallendienst onderzoekt hoe het precies heeft kunnen gebeuren. Gerelateerde artikelen Het lokale nieuws in je mailbox? Dagelijks, wekelijks en/of bij 'breaking nieuws'? Nieuws uit andere regio’s  Go to www.addthis.com/dashboard to customize your tools ",29/01/2019
22,"Fietser gewond, auto rijdt door na aanrijding in Bergen [upd... - Noordhollands Dagblad"," AntiAdBlock service down   start: inline style from widgets   load polyfills for IE & older browsers, sadly this needs to be blocking because of video embeds using Promise  De politie is op zoek naar de bestuurder van een donkerkleurige auto die afgelopen maandagmiddag in botsing kwam met een fietser op de rotonde van de kruising Van Blaaderenweg – Bergerweg in Bergen. De automobilist is na het ongeval doorgereden, de 36-jarige mountainbiker uit Bergen bleek flink gewond te zijn geraakt.  start rendering normal content  De botsing vond plaats rond 17:15 uur, de mountainbiker kwam vanaf de van Blaaderenweg en wilde de rotonde oversteken in de richting van de Dreef. Toen hij op de rotonde reed kwam vanaf de Bergerweg een personenauto aangereden. De auto botste tegen de fietser aan, die enkele meters door de lucht vloog en vervolgens hard op het wegdek terecht kwam. De fietser raakte hierbij ernstig gewond en moest met diverse botbreuken worden opgenomen in het ziekenhuis. De politie is op zoek naar getuigen die mogelijk de aanrijding hebben zien gebeuren of mensen die weten wie de bestuurder was of de kentekenplaat van de personenauto hebben gezien. Het gaat om een donkerkleurige auto, mogelijk een Volvo S80 of soortgelijke auto.  Load Facebook SDK for JavaScript   Your embedded comments code  Meer nieuws uit Alkmaar Keuze van de redactie __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      Lees hier de digitale editie __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer        start: inline scripts from widgets   end: inline scripts from widgets ",12/12/2018
23,Botsing door Engelse automobilist op verkeerde weghelft bij Veenendaal | RTV Utrecht,"RTV Utrecht - Nieuws- en sportoverzicht voor provincie en stad Utrecht.  FULL BANNER BIJ LG BOOTSTRAP  
Botsing door Engelse automobilist op verkeerde weghelft bij Veenendaal
  - 
Een Engelse automobilist heeft vanavond een ongeval veroorzaakt door op de verkeerde weghelft te rijden bij Veenendaal. 
Rond 18.35 botsten daardoor drie personenauto's op de N418, ter hoogte van De Klomp. 
De auto's zijn door een berger meegenomen. Niemand raakte gewond. Heb je een tip of opmerking? Stuur ons je nieuws of foto via  Copyright, Privacy en cookies",21/2/2019
